"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","azimuthTime","azimuthAnxTime","samplesPerBurst","subswath"
"S1C_IW_SLC__1SDV_20250728T051841_20250728T051908_003416_006DE4_672A","Sentinel-1C","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","3416","95","447","2025-07-28T05:19:08.256987Z","2025-07-28T05:18:41Z","SLC","2025-07-28T05:18:41Z","2025-07-28T05:19:08Z","43.6626","11.9605","44.258911","13.768471","44.66193","10.537264","42.640915","13.330345","43.044014","10.187677","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDV_20250728T051841_20250728T051908_003416_006DE4_672A.zip","4432.415307998657","","","0","S1C_IWDV_0447_0452_003416_095","","","","","","","","","","",""
"S1C_IW_SLC__1SDV_20250728T051816_20250728T051843_003416_006DE4_83B4","Sentinel-1C","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","3416","95","442","2025-07-28T05:18:43.429978Z","2025-07-28T05:18:16Z","SLC","2025-07-28T05:18:16Z","2025-07-28T05:18:43Z","45.1516","12.3292","45.74649","14.186269","46.149971","10.866164","44.129883","13.734735","44.533016","10.510133","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDV_20250728T051816_20250728T051843_003416_006DE4_83B4.zip","4310.619437217712","","","0","S1C_IWDV_0442_0447_003416_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20250727T052746_20250727T052813_060265_077D4D_5AEF","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","60265","168","444","2025-07-27T05:28:13.534949Z","2025-07-27T05:27:46Z","SLC","2025-07-27T05:27:46Z","2025-07-27T05:28:13Z","44.4474","10.076","45.044964","11.899661","45.445152","8.641476","43.427155","11.455447","43.82724","8.288876","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250727T052746_20250727T052813_060265_077D4D_5AEF.zip","4319.289478302002","","","0","S1A_IWDV_0443_0450_060265_168","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20250722T051937_20250722T052004_060192_077AC7_6353","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","60192","95","445","2025-07-22T05:20:04.628189Z","2025-07-22T05:19:37Z","SLC","2025-07-22T05:19:37Z","2025-07-22T05:20:04Z","44.1604","12.0624","44.757896","13.878033","45.158344","10.633982","43.140102","13.436428","43.540535","10.282723","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250722T051937_20250722T052004_060192_077AC7_6353.zip","4324.590110778809","","","0","S1A_IWDV_0445_0450_060192_095","","","","","","","","","","",""
"S1C_IW_SLC__1SDV_20250721T052652_20250721T052719_003314_006AE8_4F39","Sentinel-1C","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","3314","168","446","2025-07-21T05:27:19.452961Z","2025-07-21T05:26:52Z","SLC","2025-07-21T05:26:52Z","2025-07-21T05:27:19Z","43.7836","9.9356","44.380135","11.748136","44.783413","8.508842","42.761505","11.308647","43.164829","8.15851","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDV_20250721T052652_20250721T052719_003314_006AE8_4F39.zip","3910.298502922058","","","0","S1C_IWDV_0446_0452_003314_168","","","","","","","","","","",""
"S1C_IW_SLC__1SDV_20250721T052627_20250721T052654_003314_006AE8_E004","Sentinel-1C","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","3314","168","441","2025-07-21T05:26:54.615674Z","2025-07-21T05:26:27Z","SLC","2025-07-21T05:26:27Z","2025-07-21T05:26:54Z","45.2735","10.302","45.868553","12.16301","46.272011","8.83602","44.251556","11.71017","44.654636","8.479291","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDV_20250721T052627_20250721T052654_003314_006AE8_E004.zip","4511.708215713501","","","0","S1C_IWDV_0441_0446_003314_168","","","","","","","","","","",""
"S1C_IW_SLC__1SDV_20250716T051840_20250716T051907_003241_0068BF_0EE2","Sentinel-1C","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","3241","95","447","2025-07-16T05:19:07.403479Z","2025-07-16T05:18:40Z","SLC","2025-07-16T05:18:40Z","2025-07-16T05:19:07Z","43.6625","11.9611","44.259083","13.769036","44.662113","10.537959","42.64072","13.330788","43.043835","10.188264","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDV_20250716T051840_20250716T051907_003241_0068BF_0EE2.zip","4384.363868713379","","","0","S1C_IWDV_0447_0452_003241_095","","","","","","","","","","",""
"S1C_IW_SLC__1SDV_20250716T051815_20250716T051842_003241_0068BF_9855","Sentinel-1C","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","3241","95","442","2025-07-16T05:18:42.566192Z","2025-07-16T05:18:15Z","SLC","2025-07-16T05:18:15Z","2025-07-16T05:18:42Z","45.1518","12.3302","45.746475","14.187258","46.150002","10.86711","44.130238","13.735787","44.533424","10.511121","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDV_20250716T051815_20250716T051842_003241_0068BF_9855.zip","4208.285303115845","","","0","S1C_IWDV_0442_0447_003241_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20250715T052746_20250715T052813_060090_077749_7014","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","60090","168","444","2025-07-15T05:28:13.881367Z","2025-07-15T05:27:46Z","SLC","2025-07-15T05:27:46Z","2025-07-15T05:28:13Z","44.4477","10.0758","45.045151","11.89941","45.445324","8.641208","43.427586","11.455273","43.827663","8.288671","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250715T052746_20250715T052813_060090_077749_7014.zip","4286.554201126099","","","0","S1A_IWDV_0444_0449_060090_168","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20250710T051938_20250710T052005_060017_0774C4_E3D1","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","60017","95","445","2025-07-10T05:20:05.231860Z","2025-07-10T05:19:38Z","SLC","2025-07-10T05:19:38Z","2025-07-10T05:20:05Z","44.1603","12.0609","44.757874","13.876603","45.158276","10.632489","43.139832","13.434991","43.540215","10.281238","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250710T051938_20250710T052005_060017_0774C4_E3D1.zip","4260.829704284668","","","0","S1A_IWDV_0444_0451_060017_095","","","","","","","","","","",""
