"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","azimuthTime","azimuthAnxTime","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20221217T051944_20221217T052011_046367_058DD0_C002","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46367","95","445","2022-12-17T05:20:11.848549Z","2022-12-17T05:19:44Z","SLC","2022-12-17T05:19:44Z","2022-12-17T05:20:11Z","44.1608","12.0672","44.757793","13.883272","45.158577","10.638675","43.140312","13.441438","43.541061","10.287205","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221217T051944_20221217T052011_046367_058DD0_C002.zip","4436.560457229614","","","0","S1A_IWDV_0444_0451_046367_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20221205T051945_20221205T052012_046192_0587D9_E5FA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46192","95","445","2022-12-05T05:20:12.678672Z","2022-12-05T05:19:45Z","SLC","2022-12-05T05:19:45Z","2022-12-05T05:20:12Z","44.1609","12.0658","44.758118","13.881823","45.158852","10.637246","43.140259","13.439928","43.540962","10.285735","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221205T051945_20221205T052012_046192_0587D9_E5FA.zip","4414.084511756897","","","0","S1A_IWDV_0444_0451_046192_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20221123T051946_20221123T052013_046017_0581E2_5B2E","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46017","95","445","2022-11-23T05:20:13.460599Z","2022-11-23T05:19:46Z","SLC","2022-11-23T05:19:46Z","2022-11-23T05:20:13Z","44.1607","12.064","44.757988","13.880064","45.158691","10.63551","43.140003","13.438166","43.54068","10.284002","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221123T051946_20221123T052013_046017_0581E2_5B2E.zip","4418.862234115601","","","0","S1A_IWDV_0444_0451_046017_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20221111T051946_20221111T052013_045842_057BF6_9809","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","45842","95","445","2022-11-11T05:20:13.102717Z","2022-11-11T05:19:46Z","SLC","2022-11-11T05:19:46Z","2022-11-11T05:20:13Z","44.1609","12.0669","44.758163","13.882904","45.15889","10.638361","43.140301","13.441015","43.541","10.286854","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221111T051946_20221111T052013_045842_057BF6_9809.zip","4339.209267616272","","","0","S1A_IWDV_0444_0451_045842_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20221030T051946_20221030T052013_045667_057612_5390","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","45667","95","445","2022-10-30T05:20:13.654036Z","2022-10-30T05:19:46Z","SLC","2022-10-30T05:19:46Z","2022-10-30T05:20:13Z","44.1603","12.0653","44.757332","13.881188","45.158058","10.636809","43.139835","13.439401","43.540539","10.285373","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221030T051946_20221030T052013_045667_057612_5390.zip","4288.172261238098","","","0","S1A_IWDV_0444_0451_045667_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20221018T051946_20221018T052013_045492_057078_35A9","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","45492","95","445","2022-10-18T05:20:13.750664Z","2022-10-18T05:19:46Z","SLC","2022-10-18T05:19:46Z","2022-10-18T05:20:13Z","44.1604","12.0661","44.757622","13.882039","45.158371","10.637732","43.139877","13.440165","43.540596","10.286216","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221018T051946_20221018T052013_045492_057078_35A9.zip","4308.213904380798","","","0","S1A_IWDV_0444_0451_045492_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20221006T051946_20221006T052013_045317_056AF5_783D","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","45317","95","445","2022-10-06T05:20:13.395060Z","2022-10-06T05:19:46Z","SLC","2022-10-06T05:19:46Z","2022-10-06T05:20:13Z","44.1602","12.0674","44.757412","13.883371","45.158146","10.63901","43.139542","13.441486","43.540253","10.28749","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221006T051946_20221006T052013_045317_056AF5_783D.zip","4261.934829711914","","","0","S1A_IWDV_0444_0451_045317_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20220924T051945_20220924T052012_045142_05651E_D80B","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","45142","95","445","2022-09-24T05:20:12.879248Z","2022-09-24T05:19:45Z","SLC","2022-09-24T05:19:45Z","2022-09-24T05:20:12Z","44.1608","12.0684","44.758118","13.884312","45.158821","10.639889","43.14024","13.44246","43.54092","10.288404","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220924T051945_20220924T052012_045142_05651E_D80B.zip","4279.392271995544","","","0","S1A_IWDV_0444_0451_045142_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20220912T051946_20220912T052013_044967_055F34_5760","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","44967","95","445","2022-09-12T05:20:13.380447Z","2022-09-12T05:19:46Z","SLC","2022-09-12T05:19:46Z","2022-09-12T05:20:13Z","44.161","12.0641","44.758411","13.879963","45.159061","10.635673","43.140404","13.438122","43.541027","10.284198","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220912T051946_20220912T052013_044967_055F34_5760.zip","4291.196005821228","","","0","S1A_IWDV_0444_0451_044967_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20220831T051945_20220831T052012_044792_05595D_6C9F","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","44792","95","445","2022-08-31T05:20:12.570926Z","2022-08-31T05:19:45Z","SLC","2022-08-31T05:19:45Z","2022-08-31T05:20:12Z","44.1602","12.0652","44.75758","13.880982","45.158226","10.636945","43.139561","13.439125","43.540188","10.285443","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220831T051945_20220831T052012_044792_05595D_6C9F.zip","4308.183760643005","","","0","S1A_IWDV_0444_0451_044792_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20220726T051943_20220726T052010_044267_054895_6E16","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","44267","95","445","2022-07-26T05:20:10.670460Z","2022-07-26T05:19:43Z","SLC","2022-07-26T05:19:43Z","2022-07-26T05:20:10Z","44.1605","12.0655","44.757671","13.881199","45.158325","10.637152","43.140022","13.439433","43.540653","10.285724","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220726T051943_20220726T052010_044267_054895_6E16.zip","4309.766847610474","","","0","S1A_IWDV_0444_0451_044267_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20220714T051942_20220714T052009_044092_054356_9AB6","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","44092","95","445","2022-07-14T05:20:09.804372Z","2022-07-14T05:19:42Z","SLC","2022-07-14T05:19:42Z","2022-07-14T05:20:09Z","44.1606","12.0653","44.757812","13.881027","45.15844","10.636864","43.140163","13.439305","43.540768","10.285482","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220714T051942_20220714T052009_044092_054356_9AB6.zip","4252.048418045044","","","0","S1A_IWDV_0444_0451_044092_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20220702T051942_20220702T052009_043917_053E27_F441","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","43917","95","445","2022-07-02T05:20:09.218371Z","2022-07-02T05:19:42Z","SLC","2022-07-02T05:19:42Z","2022-07-02T05:20:09Z","44.1611","12.0647","44.758419","13.880429","45.159035","10.636371","43.140518","13.43862","43.541111","10.284918","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220702T051942_20220702T052009_043917_053E27_F441.zip","4289.266565322876","","","0","S1A_IWDV_0444_0451_043917_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20220620T051941_20220620T052008_043742_0538EC_259B","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","43742","95","445","2022-06-20T05:20:08.532839Z","2022-06-20T05:19:41Z","SLC","2022-06-20T05:19:41Z","2022-06-20T05:20:08Z","44.1605","12.0658","44.757931","13.881689","45.158619","10.637517","43.139671","13.439735","43.54034","10.285937","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220620T051941_20220620T052008_043742_0538EC_259B.zip","4301.600562095642","","","0","S1A_IWDV_0444_0451_043742_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20220608T051940_20220608T052007_043567_0533B9_6C7B","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","43567","95","445","2022-06-08T05:20:07.945337Z","2022-06-08T05:19:40Z","SLC","2022-06-08T05:19:40Z","2022-06-08T05:20:07Z","44.1601","12.0647","44.757557","13.880485","45.158241","10.636514","43.139423","13.438546","43.540081","10.28494","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220608T051940_20220608T052007_043567_0533B9_6C7B.zip","4368.740488052368","","","0","S1A_IWDV_0444_0451_043567_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20220527T051939_20220527T052006_043392_052E88_C5D0","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","43392","95","445","2022-05-27T05:20:06.619657Z","2022-05-27T05:19:39Z","SLC","2022-05-27T05:19:39Z","2022-05-27T05:20:06Z","44.1611","12.0669","44.758366","13.882732","45.159073","10.638461","43.14048","13.440869","43.541164","10.286956","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220527T051939_20220527T052006_043392_052E88_C5D0.zip","4242.811766624451","","","0","S1A_IWDV_0444_0451_043392_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20220515T051939_20220515T052006_043217_052958_C088","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","43217","95","445","2022-05-15T05:20:06.018513Z","2022-05-15T05:19:39Z","SLC","2022-05-15T05:19:39Z","2022-05-15T05:20:06Z","44.1609","12.065","44.758377","13.880782","45.159027","10.63665","43.14024","13.438895","43.540863","10.28513","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220515T051939_20220515T052006_043217_052958_C088.zip","4255.465235710144","","","0","S1A_IWDV_0444_0451_043217_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20220503T051937_20220503T052004_043042_0523BA_8294","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","43042","95","445","2022-05-03T05:20:04.958768Z","2022-05-03T05:19:37Z","SLC","2022-05-03T05:19:37Z","2022-05-03T05:20:04Z","44.1611","12.0667","44.758472","13.882479","45.159122","10.638387","43.140453","13.44061","43.541084","10.28688","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220503T051937_20220503T052004_043042_0523BA_8294.zip","4112.6283140182495","","","0","S1A_IWDV_0444_0451_043042_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20220421T051937_20220421T052004_042867_051DF1_321F","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","42867","95","445","2022-04-21T05:20:04.632187Z","2022-04-21T05:19:37Z","SLC","2022-04-21T05:19:37Z","2022-04-21T05:20:04Z","44.1608","12.0664","44.758137","13.882301","45.158844","10.638106","43.140129","13.440401","43.54081","10.286567","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220421T051937_20220421T052004_042867_051DF1_321F.zip","4228.925521850586","","","0","S1A_IWDV_0444_0451_042867_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20220409T051937_20220409T052004_042692_05181B_4B25","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","42692","95","445","2022-04-09T05:20:04.116249Z","2022-04-09T05:19:37Z","SLC","2022-04-09T05:19:37Z","2022-04-09T05:20:04Z","44.1605","12.066","44.757889","13.881721","45.15855","10.637744","43.13987","13.439831","43.540504","10.286213","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220409T051937_20220409T052004_042692_05181B_4B25.zip","4156.95102596283","","","0","S1A_IWDV_0444_0451_042692_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20220328T051937_20220328T052003_042517_051236_D9AA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","42517","95","445","2022-03-28T05:20:03.978092Z","2022-03-28T05:19:37Z","SLC","2022-03-28T05:19:37Z","2022-03-28T05:20:03Z","44.1603","12.0647","44.757484","13.880335","45.158123","10.636401","43.139835","13.438553","43.540447","10.284963","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220328T051937_20220328T052003_042517_051236_D9AA.zip","4084.398823738098","","","0","S1A_IWDV_0444_0451_042517_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20220316T051936_20220316T052003_042342_050C44_1538","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","42342","95","445","2022-03-16T05:20:03.464424Z","2022-03-16T05:19:36Z","SLC","2022-03-16T05:19:36Z","2022-03-16T05:20:03Z","44.1607","12.0654","44.758064","13.881186","45.158703","10.637077","43.140053","13.439311","43.540665","10.285574","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220316T051936_20220316T052003_042342_050C44_1538.zip","4106.81298828125","","","0","S1A_IWDV_0445_0450_042342_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20220304T051936_20220304T052003_042167_05064C_A8F0","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","42167","95","445","2022-03-04T05:20:03.355393Z","2022-03-04T05:19:36Z","SLC","2022-03-04T05:19:36Z","2022-03-04T05:20:03Z","44.1611","12.0656","44.758415","13.881503","45.159088","10.637187","43.140415","13.439609","43.541061","10.285673","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220304T051936_20220304T052003_042167_05064C_A8F0.zip","4160.727142333984","","","0","S1A_IWDV_0444_0451_042167_095","","","","","","","","","","",""
