job_id,name,status,request_time,credit_cost,granule_1,granule_2,ref_date,sec_date,job_type,looks,include_dem,include_look_vectors,include_displacement_maps,include_los_displacement,include_wrapped_phase,apply_water_mask,phase_filter_parameter,zip_filename,zip_file_size_MB,interferogram_name,zip_size_MB
9bce27bf-49ca-47b1-8d14-9eae4dd45856,aoi_3_bologna,SUCCEEDED,2025-07-15 11:23:10+00:00,10,S1A_IW_SLC__1SDV_20201021T052743_20201021T052810_034890_041162_AF7D,S1A_IW_SLC__1SDV_20201114T052743_20201114T052810_035240_041D81_B6F4,20201021,20201114,INSAR_GAMMA,20x4,True,True,False,False,False,False,0.6,S1AA_20201021T052743_20201114T052743_VVP024_INT80_G_ueF_71CF.zip,207.64,20201021_20201114,
3640ade9-65b0-4deb-a655-57566ae0b682,aoi_3_bologna,SUCCEEDED,2025-07-15 11:23:08+00:00,10,S1B_IW_SLC__1SDV_20210928T052710_20210928T052737_028894_0372C3_C44A,S1A_IW_SLC__1SDV_20211004T052749_20211004T052816_039965_04BAE4_3486,20210928,20211004,INSAR_GAMMA,20x4,True,True,False,False,False,False,0.6,S1BA_20210928T052710_20211004T052749_VVP006_INT80_G_ueF_64E8.zip,185.73,20210928_20211004,
08f64cf4-cce6-4e7a-bf35-5cdfc442ee8f,aoi_3_bologna,SUCCEEDED,2025-07-15 11:23:07+00:00,10,S1B_IW_SLC__1SDV_20171206T052627_20171206T052655_008594_00F425_4A68,S1A_IW_SLC__1SDV_20171212T052723_20171212T052750_019665_0216A4_A5B7,20171206,20171212,INSAR_GAMMA,20x4,True,True,False,False,False,False,0.6,S1BA_20171206T052627_20171212T052723_VVP006_INT80_G_ueF_E151.zip,112.28,20171206_20171212,
73e64f2b-4288-401b-acb1-95c57786aea3,aoi_3_bologna,SUCCEEDED,2025-07-15 11:23:07+00:00,10,S1B_IW_SLC__1SDV_20200617T052659_20200617T052726_022069_029E24_9AED,S1B_IW_SLC__1SDV_20200711T052700_20200711T052727_022419_02A8D0_4DF9,20200617,20200711,INSAR_GAMMA,20x4,True,True,False,False,False,False,0.6,S1BB_20200617T052659_20200711T052700_VVP024_INT80_G_ueF_FE7F.zip,209.34,20200617_20200711,
f2c5e547-4761-4b93-a914-904c1820871a,aoi_3_bologna,SUCCEEDED,2025-07-15 11:23:05+00:00,10,S1A_IW_SLC__1SDV_20181219T052729_20181219T052756_025090_02C4ED_AE9B,S1B_IW_SLC__1SDV_20181225T052634_20181225T052701_014194_01A61A_23EE,20181219,20181225,INSAR_GAMMA,20x4,True,True,False,False,False,False,0.6,S1AB_20181219T052729_20181225T052634_VVP006_INT80_G_ueF_FBF9.zip,112.84,20181219_20181225,
a0bff3f5-c7b7-4893-866e-c2806d6f3b8d,aoi_3_bologna,SUCCEEDED,2025-07-15 11:23:04+00:00,10,S1A_IW_SLC__1SDV_20191120T052737_20191120T052804_029990_036C61_A237,S1A_IW_SLC__1SDV_20191202T052736_20191202T052803_030165_037270_3899,20191120,20191202,INSAR_GAMMA,20x4,True,True,False,False,False,False,0.6,S1AA_20191120T052737_20191202T052736_VVP012_INT80_G_ueF_7D6A.zip,206.62,20191120_20191202,
bc0bbc71-e6ae-4a0b-8f41-8f10767a299f,aoi_3_bologna,SUCCEEDED,2025-07-15 11:23:04+00:00,10,S1A_IW_SLC__1SDV_20190804T052734_20190804T052801_028415_033604_65D4,S1B_IW_SLC__1SDV_20190822T052656_20190822T052723_017694_02149F_2D88,20190804,20190822,INSAR_GAMMA,20x4,True,True,False,False,False,False,0.6,S1AB_20190804T052734_20190822T052656_VVP018_INT80_G_ueF_CBB0.zip,187.59,20190804_20190822,
6ddac901-3ca8-4d11-b779-c21504b534f6,aoi_3_bologna,SUCCEEDED,2025-07-15 11:23:03+00:00,10,S1B_IW_SLC__1SDV_20190623T052652_20190623T052719_016819_01FA6A_10DC,S1A_IW_SLC__1SDV_20190711T052732_20190711T052759_028065_032B64_EB78,20190623,20190711,INSAR_GAMMA,20x4,True,True,False,False,False,False,0.6,S1BA_20190623T052652_20190711T052732_VVP018_INT80_G_ueF_D4C4.zip,187.1,20190623_20190711,
3f6f64ca-cac4-4ad6-8726-be1adf1917f7,aoi_3_bologna,SUCCEEDED,2025-07-15 11:23:02+00:00,10,S1A_IW_SLC__1SDV_20180210T052721_20180210T052748_020540_023244_7026,S1A_IW_SLC__1SDV_20180306T052721_20180306T052748_020890_023D5E_E7E3,20180210,20180306,INSAR_GAMMA,20x4,True,True,False,False,False,False,0.6,S1AA_20180210T052721_20180306T052721_VVP024_INT80_G_ueF_A35F.zip,208.12,20180210_20180306,
3f3eeac3-752a-4368-85a3-264c8dd279d0,aoi_3_bologna,SUCCEEDED,2025-07-15 11:23:01+00:00,10,S1B_IW_SLC__1SDV_20210718T052706_20210718T052733_027844_035293_52FD,S1A_IW_SLC__1SDV_20210805T052747_20210805T052814_039090_049CCC_BF6A,20210718,20210805,INSAR_GAMMA,20x4,True,True,False,False,False,False,0.6,S1BA_20210718T052706_20210805T052747_VVP018_INT80_G_ueF_E09B.zip,187.26,20210718_20210805,
