centerLat,centerLon,stopTime,fileID,flightDirection,pathNumber,processingLevel,url,startTime,sceneName,browse,platform,bytes,md5sum,frameNumber,granuleType,orbit,polarization,processingDate,sensor,groupID,pgeVersion,fileName,beamModeType,s3Urls,temporalBaseline,perpendicularBaseline,geometry
44.58,10.1377,2017-01-04T05:26:59Z,S1B_IW_SLC__1SDV_20170104T052630_20170104T052659_003694_006588_7B59-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170104T052630_20170104T052659_003694_006588_7B59.zip,2017-01-04 05:26:30+00:00,S1B_IW_SLC__1SDV_20170104T052630_20170104T052659_003694_006588_7B59,,Sentinel-1B,4883760991,e980ba06a4cc9383d9d2e5649536c8ad,443,SENTINEL_1B_FRAME,3694,VV+VH,2017-01-04T05:26:30Z,C-SAR,S1B_IWDV_0443_0449_003694_168,002.72,S1B_IW_SLC__1SDV_20170104T052630_20170104T052659_003694_006588_7B59.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1B_IW_SLC__1SDV_20170104T052630_20170104T052659_003694_006588_7B59.zip'],0,0.0,"{'coordinates': [[[11.461445, 43.47847], [11.954021, 45.267426], [8.756722, 45.659603], [8.363881, 43.870438], [11.461445, 43.47847]]], 'type': 'Polygon'}"
45.1071,10.2542,2017-01-10T05:27:31Z,S1A_IW_SLC__1SDV_20170110T052704_20170110T052731_014765_0180A8_38EC-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170110T052704_20170110T052731_014765_0180A8_38EC.zip,2017-01-10 05:27:04+00:00,S1A_IW_SLC__1SDV_20170110T052704_20170110T052731_014765_0180A8_38EC,,Sentinel-1A,4601574529,382b0646ca635af0a066fb59a236b063,442,SENTINEL_1A_FRAME,14765,VV+VH,2017-01-10T05:27:04Z,C-SAR,S1A_IWDV_0442_0447_014765_168,002.72,S1A_IW_SLC__1SDV_20170110T052704_20170110T052731_014765_0180A8_38EC.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1A_IW_SLC__1SDV_20170110T052704_20170110T052731_014765_0180A8_38EC.zip'],6,52.0,"{'coordinates': [[[11.651173, 44.086056], [12.102125, 45.703411], [8.800138, 46.104816], [8.444085, 44.487141], [11.651173, 44.086056]]], 'type': 'Polygon'}"
44.7457,10.1804,2017-01-16T05:26:56Z,S1B_IW_SLC__1SDV_20170116T052626_20170116T052656_003869_006A94_F8DD-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170116T052626_20170116T052656_003869_006A94_F8DD.zip,2017-01-16 05:26:26+00:00,S1B_IW_SLC__1SDV_20170116T052626_20170116T052656_003869_006A94_F8DD,,Sentinel-1B,4932816435,af8614257fd9ef7cd9ea9e62207949e0,443,SENTINEL_1B_FRAME,3869,VV+VH,2017-01-16T05:26:26Z,C-SAR,S1B_IWDV_0443_0449_003869_168,002.72,S1B_IW_SLC__1SDV_20170116T052626_20170116T052656_003869_006A94_F8DD.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1B_IW_SLC__1SDV_20170116T052626_20170116T052656_003869_006A94_F8DD.zip'],12,48.0,"{'coordinates': [[[11.508479, 43.64423], [12.00266, 45.432556], [8.79447, 45.82497], [8.40088, 44.036381], [11.508479, 43.64423]]], 'type': 'Polygon'}"
44.7447,10.1796,2017-01-28T05:26:56Z,S1B_IW_SLC__1SDV_20170128T052626_20170128T052656_004044_006FDE_2BAA-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170128T052626_20170128T052656_004044_006FDE_2BAA.zip,2017-01-28 05:26:26+00:00,S1B_IW_SLC__1SDV_20170128T052626_20170128T052656_004044_006FDE_2BAA,,Sentinel-1B,4940777537,fd6eab933ded081c9ff638a68a813168,443,SENTINEL_1B_FRAME,4044,VV+VH,2017-01-28T05:26:26Z,C-SAR,S1B_IWDV_0443_0449_004044_168,002.72,S1B_IW_SLC__1SDV_20170128T052626_20170128T052656_004044_006FDE_2BAA.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1B_IW_SLC__1SDV_20170128T052626_20170128T052656_004044_006FDE_2BAA.zip'],24,79.0,"{'coordinates': [[[11.507637, 43.643208], [12.001826, 45.431789], [8.793682, 45.824162], [8.400091, 44.035316], [11.507637, 43.643208]]], 'type': 'Polygon'}"
45.1069,10.255,2017-02-03T05:27:30Z,S1A_IW_SLC__1SDV_20170203T052703_20170203T052730_015115_018B6D_8504-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170203T052703_20170203T052730_015115_018B6D_8504.zip,2017-02-03 05:27:03+00:00,S1A_IW_SLC__1SDV_20170203T052703_20170203T052730_015115_018B6D_8504,,Sentinel-1A,4833807879,1dcdbfadb689d478772653f5e84f5c84,442,SENTINEL_1A_FRAME,15115,VV+VH,2017-02-03T05:27:03Z,C-SAR,S1A_IWDV_0442_0447_015115_168,002.72,S1A_IW_SLC__1SDV_20170203T052703_20170203T052730_015115_018B6D_8504.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1A_IW_SLC__1SDV_20170203T052703_20170203T052730_015115_018B6D_8504.zip'],30,-18.0,"{'coordinates': [[[11.651952, 44.085892], [12.102915, 45.703121], [8.801088, 46.104565], [8.445011, 44.487015], [11.651952, 44.085892]]], 'type': 'Polygon'}"
44.7448,10.1796,2017-02-09T05:26:56Z,S1B_IW_SLC__1SDV_20170209T052626_20170209T052656_004219_007502_9CB7-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170209T052626_20170209T052656_004219_007502_9CB7.zip,2017-02-09 05:26:26+00:00,S1B_IW_SLC__1SDV_20170209T052626_20170209T052656_004219_007502_9CB7,,Sentinel-1B,5158778016,7f68531026adc08739d45eff917a13c1,443,SENTINEL_1B_FRAME,4219,VV+VH,2017-02-09T05:26:26Z,C-SAR,S1B_IWDV_0443_0449_004219_168,002.72,S1B_IW_SLC__1SDV_20170209T052626_20170209T052656_004219_007502_9CB7.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1B_IW_SLC__1SDV_20170209T052626_20170209T052656_004219_007502_9CB7.zip'],36,80.0,"{'coordinates': [[[11.507701, 43.64341], [12.001764, 45.431625], [8.793622, 45.823978], [8.400135, 44.035503], [11.507701, 43.64341]]], 'type': 'Polygon'}"
45.1075,10.2546,2017-02-15T05:27:30Z,S1A_IW_SLC__1SDV_20170215T052703_20170215T052730_015290_0190F9_ED5F-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170215T052703_20170215T052730_015290_0190F9_ED5F.zip,2017-02-15 05:27:03+00:00,S1A_IW_SLC__1SDV_20170215T052703_20170215T052730_015290_0190F9_ED5F,,Sentinel-1A,4745892214,541a802bc6c463dafe4590b06f642fac,442,SENTINEL_1A_FRAME,15290,VV+VH,2017-02-15T05:27:03Z,C-SAR,S1A_IWDV_0442_0447_015290_168,002.72,S1A_IW_SLC__1SDV_20170215T052703_20170215T052730_015290_0190F9_ED5F.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1A_IW_SLC__1SDV_20170215T052703_20170215T052730_015290_0190F9_ED5F.zip'],42,-3.0,"{'coordinates': [[[11.651584, 44.086555], [12.102492, 45.703667], [8.800656, 46.10508], [8.444628, 44.487648], [11.651584, 44.086555]]], 'type': 'Polygon'}"
44.7445,10.1802,2017-02-21T05:26:56Z,S1B_IW_SLC__1SDV_20170221T052626_20170221T052656_004394_007A54_D883-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170221T052626_20170221T052656_004394_007A54_D883.zip,2017-02-21 05:26:26+00:00,S1B_IW_SLC__1SDV_20170221T052626_20170221T052656_004394_007A54_D883,,Sentinel-1B,5073533930,da457b992fa27f274eabd2c3d27af47a,443,SENTINEL_1B_FRAME,4394,VV+VH,2017-02-21T05:26:26Z,C-SAR,S1B_IWDV_0443_0449_004394_168,002.72,S1B_IW_SLC__1SDV_20170221T052626_20170221T052656_004394_007A54_D883.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1B_IW_SLC__1SDV_20170221T052626_20170221T052656_004394_007A54_D883.zip'],48,-1.0,"{'coordinates': [[[11.508106, 43.642765], [12.002438, 45.431721], [8.794495, 45.824112], [8.400772, 44.034897], [11.508106, 43.642765]]], 'type': 'Polygon'}"
45.1075,10.2535,2017-02-27T05:27:30Z,S1A_IW_SLC__1SDV_20170227T052703_20170227T052730_015465_01964E_C28B-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170227T052703_20170227T052730_015465_01964E_C28B.zip,2017-02-27 05:27:03+00:00,S1A_IW_SLC__1SDV_20170227T052703_20170227T052730_015465_01964E_C28B,,Sentinel-1A,4712913862,db7c8e87e71e26a4d5e30a845fb54136,442,SENTINEL_1A_FRAME,15465,VV+VH,2017-02-27T05:27:03Z,C-SAR,S1A_IWDV_0442_0447_015465_168,002.72,S1A_IW_SLC__1SDV_20170227T052703_20170227T052730_015465_01964E_C28B.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1A_IW_SLC__1SDV_20170227T052703_20170227T052730_015465_01964E_C28B.zip'],54,47.0,"{'coordinates': [[[11.650411, 44.086594], [12.101297, 45.703846], [8.799588, 46.105186], [8.443584, 44.487617], [11.650411, 44.086594]]], 'type': 'Polygon'}"
44.7442,10.1812,2017-03-05T05:26:55Z,S1B_IW_SLC__1SDV_20170305T052626_20170305T052655_004569_007F6C_E7BB-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170305T052626_20170305T052655_004569_007F6C_E7BB.zip,2017-03-05 05:26:26+00:00,S1B_IW_SLC__1SDV_20170305T052626_20170305T052655_004569_007F6C_E7BB,,Sentinel-1B,5174070740,1db17db3f6a82e39a457920d9f2ab48e,443,SENTINEL_1B_FRAME,4569,VV+VH,2017-03-05T05:26:26Z,C-SAR,S1B_IWDV_0443_0449_004569_168,002.72,S1B_IW_SLC__1SDV_20170305T052626_20170305T052655_004569_007F6C_E7BB.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1B_IW_SLC__1SDV_20170305T052626_20170305T052655_004569_007F6C_E7BB.zip'],60,-105.0,"{'coordinates': [[[11.509013, 43.642376], [12.003389, 45.431461], [8.795599, 45.823856], [8.401831, 44.034508], [11.509013, 43.642376]]], 'type': 'Polygon'}"
