Granule Name,Platform,Sensor,Beam Mode,Beam Mode Description,Orbit,Path Number,Frame Number,Acquisition Date,Processing Date,Processing Level,Start Time,End Time,Center Lat,Center Lon,Near Start Lat,Near Start Lon,Far Start Lat,Far Start Lon,Near End Lat,Near End Lon,Far End Lat,Far End Lon,Faraday Rotation,Ascending or Descending?,URL,Size (MB),Off Nadir Angle,Stack Size,Doppler,GroupID,Pointing Angle,relativeBurstID,absoluteBurstID,fullBurstID,burstIndex,azimuthTime,azimuthAnxTime,samplesPerBurst,subswath
S1A_IW_SLC__1SDV_20170620T181015_20170620T181042_017121_01C8AC_785A,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",17121,74,1206,2017-06-20T18:10:42.818720Z,2017-06-20T18:10:15.876543Z,SLC,2017-06-20T18:10:15.876543Z,2017-06-20T18:10:42.818720Z,8.3024,0.9175,7.2593,-0.036352,7.714992,2.203691,8.88917,-0.371382,9.340402,1.87814,None,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170620T181015_20170620T181042_017121_01C8AC_785A.zip,4646.62296581268,None,None,0,S1A_IWDV_0022_0027_017121_074,,,,,,,,,
S1A_IW_SLC__1SDV_20170608T181015_20170608T181042_016946_01C346_7DCA,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",16946,74,1206,2017-06-08T18:10:42.175216Z,2017-06-08T18:10:15.230984Z,SLC,2017-06-08T18:10:15.230984Z,2017-06-08T18:10:42.175216Z,8.3014,0.9178,7.258229,-0.036043,7.713889,2.203922,8.88823,-0.371088,9.339429,1.878357,None,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170608T181015_20170608T181042_016946_01C346_7DCA.zip,4542.26480960846,None,None,0,S1A_IWDV_0022_0027_016946_074,,,,,,,,,
S1A_IW_SLC__1SDV_20170527T181014_20170527T181041_016771_01BDD8_80AF,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",16771,74,1206,2017-05-27T18:10:41.231506Z,2017-05-27T18:10:14.287274Z,SLC,2017-05-27T18:10:14.287274Z,2017-05-27T18:10:41.231506Z,8.3019,0.9187,7.258696,-0.035087,7.714364,2.204806,8.888701,-0.370147,9.339908,1.879225,None,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170527T181014_20170527T181041_016771_01BDD8_80AF.zip,4533.59770202637,None,None,0,S1A_IWDV_0022_0027_016771_074,,,,,,,,,
S1A_IW_SLC__1SDV_20170515T181013_20170515T181040_016596_01B877_3EF7,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",16596,74,1206,2017-05-15T18:10:40.785247Z,2017-05-15T18:10:13.836904Z,SLC,2017-05-15T18:10:13.836904Z,2017-05-15T18:10:40.785247Z,8.3017,0.9176,7.258384,-0.036177,7.714073,2.203751,8.888632,-0.3713,9.33986,1.878109,None,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170515T181013_20170515T181040_016596_01B877_3EF7.zip,4469.32150840759,None,None,0,S1A_IWDV_0022_0027_016596_074,,,,,,,,,
S1A_IW_SLC__1SDV_20170503T181013_20170503T181040_016421_01B324_7B34,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",16421,74,1206,2017-05-03T18:10:40.191661Z,2017-05-03T18:10:13.249484Z,SLC,2017-05-03T18:10:13.249484Z,2017-05-03T18:10:40.191661Z,8.3023,0.917,7.259124,-0.036893,7.714839,2.203162,8.888991,-0.371938,9.340246,1.877596,None,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170503T181013_20170503T181040_016421_01B324_7B34.zip,4451.52519416809,None,None,0,S1A_IWDV_0022_0027_016421_074,,,,,,,,,
S1A_IW_SLC__1SDV_20170421T181012_20170421T181039_016246_01ADD6_5913,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",16246,74,1206,2017-04-21T18:10:39.533995Z,2017-04-21T18:10:12.589763Z,SLC,2017-04-21T18:10:12.589763Z,2017-04-21T18:10:39.533995Z,8.3021,0.9174,7.258948,-0.036369,7.714652,2.203604,8.888944,-0.371444,9.340187,1.878009,None,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170421T181012_20170421T181039_016246_01ADD6_5913.zip,4417.50364780426,None,None,0,S1A_IWDV_0022_0027_016246_074,,,,,,,,,
S1A_IW_SLC__1SDV_20170409T181011_20170409T181038_016071_01A87B_4F8E,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",16071,74,1206,2017-04-09T18:10:38.932943Z,2017-04-09T18:10:11.990767Z,SLC,2017-04-09T18:10:11.990767Z,2017-04-09T18:10:38.932943Z,8.3019,0.9174,7.258819,-0.036405,7.714499,2.203573,8.888694,-0.371434,9.339912,1.878021,None,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170409T181011_20170409T181038_016071_01A87B_4F8E.zip,4419.24412822723,None,None,0,S1A_IWDV_0022_0027_016071_074,,,,,,,,,
S1A_IW_SLC__1SDV_20170328T181011_20170328T181038_015896_01A33D_07BB,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",15896,74,1206,2017-03-28T18:10:38.403125Z,2017-03-28T18:10:11.456838Z,SLC,2017-03-28T18:10:11.456838Z,2017-03-28T18:10:38.403125Z,8.3021,0.9175,7.258852,-0.036414,7.71455,2.203739,8.888963,-0.371489,9.340199,1.878148,None,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170328T181011_20170328T181038_015896_01A33D_07BB.zip,4378.40069961548,None,None,0,S1A_IWDV_0022_0027_015896_074,,,,,,,,,
S1A_IW_SLC__1SDV_20170316T181011_20170316T181038_015721_019DFF_E81E,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",15721,74,1206,2017-03-16T18:10:38.182219Z,2017-03-16T18:10:11.237987Z,SLC,2017-03-16T18:10:11.237987Z,2017-03-16T18:10:38.182219Z,8.3024,0.9173,7.259198,-0.036569,7.714928,2.20355,8.88918,-0.371654,9.34045,1.877952,None,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170316T181011_20170316T181038_015721_019DFF_E81E.zip,4388.41494464874,None,None,0,S1A_IWDV_0022_0027_015721_074,,,,,,,,,
S1A_IW_SLC__1SDV_20170304T181010_20170304T181037_015546_0198C4_B167,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",15546,74,1206,2017-03-04T18:10:37.850747Z,2017-03-04T18:10:10.902404Z,SLC,2017-03-04T18:10:10.902404Z,2017-03-04T18:10:37.850747Z,8.3021,0.9184,7.258812,-0.035476,7.714566,2.204628,8.889039,-0.370638,9.340334,1.878957,None,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170304T181010_20170304T181037_015546_0198C4_B167.zip,4389.79430007935,None,None,0,S1A_IWDV_0022_0027_015546_074,,,,,,,,,
