master,slave,master_date,slave_date,master_path,slave_path,xml_file
S1A_IW_SLC__1SDV_20230104T171448_20230104T171516_046637_0596FA_36D4,S1A_IW_SLC__1SDV_20230116T171448_20230116T171515_046812_059CDB_3F6D,2023-01-04,2023-01-16,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230104T171448_20230104T171516_046637_0596FA_36D4.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230116T171448_20230116T171515_046812_059CDB_3F6D.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-01-04_2023-01-16/topsApp.xml
S1A_IW_SLC__1SDV_20230104T171448_20230104T171516_046637_0596FA_36D4,S1A_IW_SLC__1SDV_20230128T171447_20230128T171515_046987_05A2C2_4EDA,2023-01-04,2023-01-28,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230104T171448_20230104T171516_046637_0596FA_36D4.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230128T171447_20230128T171515_046987_05A2C2_4EDA.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-01-04_2023-01-28/topsApp.xml
S1A_IW_SLC__1SDV_20230104T171448_20230104T171516_046637_0596FA_36D4,S1A_IW_SLC__1SDV_20230209T171446_20230209T171514_047162_05A897_D819,2023-01-04,2023-02-09,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230104T171448_20230104T171516_046637_0596FA_36D4.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230209T171446_20230209T171514_047162_05A897_D819.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-01-04_2023-02-09/topsApp.xml
S1A_IW_SLC__1SDV_20230104T171448_20230104T171516_046637_0596FA_36D4,S1A_IW_SLC__1SDV_20230221T171447_20230221T171514_047337_05AE8C_3F77,2023-01-04,2023-02-21,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230104T171448_20230104T171516_046637_0596FA_36D4.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230221T171447_20230221T171514_047337_05AE8C_3F77.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-01-04_2023-02-21/topsApp.xml
S1A_IW_SLC__1SDV_20230116T171448_20230116T171515_046812_059CDB_3F6D,S1A_IW_SLC__1SDV_20230128T171447_20230128T171515_046987_05A2C2_4EDA,2023-01-16,2023-01-28,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230116T171448_20230116T171515_046812_059CDB_3F6D.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230128T171447_20230128T171515_046987_05A2C2_4EDA.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-01-16_2023-01-28/topsApp.xml
S1A_IW_SLC__1SDV_20230116T171448_20230116T171515_046812_059CDB_3F6D,S1A_IW_SLC__1SDV_20230209T171446_20230209T171514_047162_05A897_D819,2023-01-16,2023-02-09,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230116T171448_20230116T171515_046812_059CDB_3F6D.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230209T171446_20230209T171514_047162_05A897_D819.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-01-16_2023-02-09/topsApp.xml
S1A_IW_SLC__1SDV_20230116T171448_20230116T171515_046812_059CDB_3F6D,S1A_IW_SLC__1SDV_20230221T171447_20230221T171514_047337_05AE8C_3F77,2023-01-16,2023-02-21,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230116T171448_20230116T171515_046812_059CDB_3F6D.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230221T171447_20230221T171514_047337_05AE8C_3F77.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-01-16_2023-02-21/topsApp.xml
S1A_IW_SLC__1SDV_20230116T171448_20230116T171515_046812_059CDB_3F6D,S1A_IW_SLC__1SDV_20230305T171446_20230305T171514_047512_05B476_2FD7,2023-01-16,2023-03-05,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230116T171448_20230116T171515_046812_059CDB_3F6D.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230305T171446_20230305T171514_047512_05B476_2FD7.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-01-16_2023-03-05/topsApp.xml
S1A_IW_SLC__1SDV_20230128T171447_20230128T171515_046987_05A2C2_4EDA,S1A_IW_SLC__1SDV_20230209T171446_20230209T171514_047162_05A897_D819,2023-01-28,2023-02-09,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230128T171447_20230128T171515_046987_05A2C2_4EDA.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230209T171446_20230209T171514_047162_05A897_D819.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-01-28_2023-02-09/topsApp.xml
S1A_IW_SLC__1SDV_20230128T171447_20230128T171515_046987_05A2C2_4EDA,S1A_IW_SLC__1SDV_20230221T171447_20230221T171514_047337_05AE8C_3F77,2023-01-28,2023-02-21,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230128T171447_20230128T171515_046987_05A2C2_4EDA.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230221T171447_20230221T171514_047337_05AE8C_3F77.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-01-28_2023-02-21/topsApp.xml
