year,bperp
2023.0109589041097,1505
2023.0109589041097,3016
2023.0109589041097,4509
2023.0109589041097,6034
2023.0109589041097,7548
2023.0109589041097,9064
2023.0109589041097,10574
2023.0109589041097,12086
2023.0109589041097,13583
2023.0109589041097,15086
2023.0109589041097,16472
2023.0109589041097,17801
2023.0109589041097,19148
2023.0109589041097,20515
2023.0109589041097,21879
2023.0438356164384,1511
2023.0438356164384,3004
2023.0438356164384,4529
2023.0438356164384,6043
2023.0438356164384,7559
2023.0438356164384,9069
2023.0438356164384,10581
2023.0438356164384,12078
2023.0438356164384,13581
2023.0438356164384,14967
2023.0438356164384,16296
2023.0438356164384,17643
2023.0438356164384,19010
2023.0438356164384,20374
2023.0438356164384,21762
2023.0767123287671,1493
2023.0767123287671,3018
2023.0767123287671,4532
2023.0767123287671,6048
2023.0767123287671,7558
2023.0767123287671,9070
2023.0767123287671,10567
2023.0767123287671,12070
2023.0767123287671,13456
2023.0767123287671,14785
2023.0767123287671,16132
2023.0767123287671,17499
2023.0767123287671,18863
2023.0767123287671,20251
2023.0767123287671,21627
2023.109589041096,1525
2023.109589041096,3039
2023.109589041096,4555
2023.109589041096,6065
2023.109589041096,7577
2023.109589041096,9074
2023.109589041096,10577
2023.109589041096,11963
2023.109589041096,13292
2023.109589041096,14639
2023.109589041096,16006
2023.109589041096,17370
2023.109589041096,18758
2023.109589041096,20134
2023.109589041096,21533
2023.1424657534246,1514
2023.1424657534246,3030
2023.1424657534246,4540
2023.1424657534246,6052
2023.1424657534246,7549
2023.1424657534246,9052
2023.1424657534246,10438
2023.1424657534246,11767
2023.1424657534246,13114
2023.1424657534246,14481
2023.1424657534246,15845
2023.1424657534246,17233
2023.1424657534246,18609
2023.1424657534246,20008
2023.1424657534246,21543
2023.1753424657534,1516
2023.1753424657534,3026
2023.1753424657534,4538
2023.1753424657534,6035
2023.1753424657534,7538
2023.1753424657534,8924
2023.1753424657534,10253
2023.1753424657534,11600
2023.1753424657534,12967
2023.1753424657534,14331
2023.1753424657534,15719
2023.1753424657534,17095
2023.1753424657534,18494
2023.1753424657534,20029
2023.1753424657534,21565
2023.2082191780821,1510
2023.2082191780821,3022
2023.2082191780821,4519
2023.2082191780821,6022
2023.2082191780821,7408
2023.2082191780821,8737
2023.2082191780821,10084
2023.2082191780821,11451
2023.2082191780821,12815
2023.2082191780821,14203
2023.2082191780821,15579
2023.2082191780821,16978
2023.2082191780821,18513
2023.2082191780821,20049
2023.2082191780821,21578
2023.2410958904109,1512
2023.2410958904109,3009
2023.2410958904109,4512
2023.2410958904109,5898
2023.2410958904109,7227
2023.2410958904109,8574
2023.2410958904109,9941
2023.2410958904109,11305
2023.2410958904109,12693
2023.2410958904109,14069
2023.2410958904109,15468
2023.2410958904109,17003
2023.2410958904109,18539
2023.2410958904109,20068
2023.2410958904109,21591
2023.2739726027398,1497
2023.2739726027398,3000
2023.2739726027398,4386
2023.2739726027398,5715
2023.2739726027398,7062
2023.2739726027398,8429
2023.2739726027398,9793
2023.2739726027398,11181
2023.2739726027398,12557
2023.2739726027398,13956
2023.2739726027398,15491
2023.2739726027398,17027
2023.2739726027398,18556
2023.2739726027398,20079
2023.2739726027398,21614
2023.3068493150686,1503
2023.3068493150686,2889
2023.3068493150686,4218
2023.3068493150686,5565
2023.3068493150686,6932
2023.3068493150686,8296
2023.3068493150686,9684
2023.3068493150686,11060
2023.3068493150686,12459
2023.3068493150686,13994
2023.3068493150686,15530
2023.3068493150686,17059
2023.3068493150686,18582
2023.3068493150686,20117
2023.3068493150686,21648
2023.3397260273973,1386
2023.3397260273973,2715
2023.3397260273973,4062
2023.3397260273973,5429
2023.3397260273973,6793
2023.3397260273973,8181
2023.3397260273973,9557
2023.3397260273973,10956
2023.3397260273973,12491
2023.3397260273973,14027
2023.3397260273973,15556
2023.3397260273973,17079
2023.3397260273973,18614
2023.3397260273973,20145
2023.3397260273973,21678
2023.372602739726,1329
2023.372602739726,2676
2023.372602739726,4043
2023.372602739726,5407
2023.372602739726,6795
2023.372602739726,8171
2023.372602739726,9570
2023.372602739726,11105
2023.372602739726,12641
2023.372602739726,14170
2023.372602739726,15693
2023.372602739726,17228
2023.372602739726,18759
2023.372602739726,20292
2023.372602739726,21833
2023.4054794520548,1347
2023.4054794520548,2714
2023.4054794520548,4078
2023.4054794520548,5466
2023.4054794520548,6842
2023.4054794520548,8241
2023.4054794520548,9776
2023.4054794520548,11312
2023.4054794520548,12841
2023.4054794520548,14364
2023.4054794520548,15899
2023.4054794520548,17430
2023.4054794520548,18963
2023.4054794520548,20504
2023.4054794520548,22050
2023.4383561643835,1367
2023.4383561643835,2731
2023.4383561643835,4119
2023.4383561643835,5495
2023.4383561643835,6894
2023.4383561643835,8429
2023.4383561643835,9965
2023.4383561643835,11494
2023.4383561643835,13017
2023.4383561643835,14552
2023.4383561643835,16083
2023.4383561643835,17616
2023.4383561643835,19157
2023.4383561643835,20703
2023.4383561643835,22243
2023.4712328767123,1364
2023.4712328767123,2752
2023.4712328767123,4128
2023.4712328767123,5527
2023.4712328767123,7062
2023.4712328767123,8598
2023.4712328767123,10127
2023.4712328767123,11650
2023.4712328767123,13185
2023.4712328767123,14716
2023.4712328767123,16249
2023.4712328767123,17790
2023.4712328767123,19336
2023.4712328767123,20876
2023.4712328767123,22444
2023.504109589041,1388
2023.504109589041,2764
2023.504109589041,4163
2023.504109589041,5698
2023.504109589041,7234
2023.504109589041,8763
2023.504109589041,10286
2023.504109589041,11821
2023.504109589041,13352
2023.504109589041,14885
2023.504109589041,16426
2023.504109589041,17972
2023.504109589041,19512
2023.504109589041,21080
2023.504109589041,22622
2023.5369863013698,1376
2023.5369863013698,2775
2023.5369863013698,4310
2023.5369863013698,5846
2023.5369863013698,7375
2023.5369863013698,8898
2023.5369863013698,10433
2023.5369863013698,11964
2023.5369863013698,13497
2023.5369863013698,15038
2023.5369863013698,16584
2023.5369863013698,18124
2023.5369863013698,19692
2023.5369863013698,21234
2023.5698630136985,1399
2023.5698630136985,2934
2023.5698630136985,4470
2023.5698630136985,5999
2023.5698630136985,7522
2023.5698630136985,9057
2023.5698630136985,10588
2023.5698630136985,12121
2023.5698630136985,13662
2023.5698630136985,15208
2023.5698630136985,16748
2023.5698630136985,18316
2023.5698630136985,19858
2023.6027397260275,1535
2023.6027397260275,3071
2023.6027397260275,4600
2023.6027397260275,6123
2023.6027397260275,7658
2023.6027397260275,9189
2023.6027397260275,10722
2023.6027397260275,12263
2023.6027397260275,13809
2023.6027397260275,15349
2023.6027397260275,16917
2023.6027397260275,18459
2023.6356164383562,1536
2023.6356164383562,3065
2023.6356164383562,4588
2023.6356164383562,6123
2023.6356164383562,7654
2023.6356164383562,9187
2023.6356164383562,10728
2023.6356164383562,12274
2023.6356164383562,13814
2023.6356164383562,15382
2023.6356164383562,16924
2023.668493150685,1529
2023.668493150685,3052
2023.668493150685,4587
2023.668493150685,6118
2023.668493150685,7651
2023.668493150685,9192
2023.668493150685,10738
2023.668493150685,12278
2023.668493150685,13846
2023.668493150685,15388
2023.7013698630137,1523
2023.7013698630137,3058
2023.7013698630137,4589
2023.7013698630137,6122
2023.7013698630137,7663
2023.7013698630137,9209
2023.7013698630137,10749
2023.7013698630137,12317
2023.7013698630137,13859
2023.7342465753425,1535
2023.7342465753425,3066
2023.7342465753425,4599
2023.7342465753425,6140
2023.7342465753425,7686
2023.7342465753425,9226
2023.7342465753425,10794
2023.7342465753425,12336
2023.7671232876712,1531
2023.7671232876712,3064
2023.7671232876712,4605
2023.7671232876712,6151
2023.7671232876712,7691
2023.7671232876712,9259
2023.7671232876712,10801
2023.8,1533
2023.8,3074
2023.8,4620
2023.8,6160
2023.8,7728
2023.8,9270
2023.8328767123287,1541
2023.8328767123287,3087
2023.8328767123287,4627
2023.8328767123287,6195
2023.8328767123287,7737
2023.8657534246574,1546
2023.8657534246574,3086
2023.8657534246574,4654
2023.8657534246574,6196
2023.8986301369864,1540
2023.8986301369864,3108
2023.8986301369864,4650
2023.9315068493152,1568
2023.9315068493152,3110
2023.964383561644,1542
