year,bperp
2023.0109589041097,1505
2023.0109589041097,3016
2023.0109589041097,4509
2023.0109589041097,6034
2023.0438356164384,1511
2023.0438356164384,3004
2023.0438356164384,4529
2023.0438356164384,6043
2023.0767123287671,1493
2023.0767123287671,3018
2023.0767123287671,4532
2023.0767123287671,6048
2023.109589041096,1525
2023.109589041096,3039
2023.109589041096,4555
2023.109589041096,6065
2023.1424657534246,1514
2023.1424657534246,3030
2023.1424657534246,4540
2023.1424657534246,6052
2023.1753424657534,1516
2023.1753424657534,3026
2023.1753424657534,4538
2023.1753424657534,6035
2023.2082191780821,1510
2023.2082191780821,3022
2023.2082191780821,4519
2023.2082191780821,6022
2023.2410958904109,1512
2023.2410958904109,3009
2023.2410958904109,4512
2023.2410958904109,5898
2023.2739726027398,1497
2023.2739726027398,3000
2023.2739726027398,4386
2023.2739726027398,5715
2023.3068493150686,1503
2023.3068493150686,2889
2023.3068493150686,4218
2023.3068493150686,5565
2023.3397260273973,1386
2023.3397260273973,2715
2023.3397260273973,4062
2023.3397260273973,5429
2023.372602739726,1329
2023.372602739726,2676
2023.372602739726,4043
2023.372602739726,5407
2023.4054794520548,1347
2023.4054794520548,2714
2023.4054794520548,4078
2023.4054794520548,5466
2023.4383561643835,1367
2023.4383561643835,2731
2023.4383561643835,4119
2023.4383561643835,5495
2023.4712328767123,1364
2023.4712328767123,2752
2023.4712328767123,4128
2023.4712328767123,5527
2023.504109589041,1388
2023.504109589041,2764
2023.504109589041,4163
2023.504109589041,5698
2023.5369863013698,1376
2023.5369863013698,2775
2023.5369863013698,4310
2023.5369863013698,5846
2023.5698630136985,1399
2023.5698630136985,2934
2023.5698630136985,4470
2023.5698630136985,5999
2023.6027397260275,1535
2023.6027397260275,3071
2023.6027397260275,4600
2023.6027397260275,6123
2023.6356164383562,1536
2023.6356164383562,3065
2023.6356164383562,4588
2023.6356164383562,6123
2023.668493150685,1529
2023.668493150685,3052
2023.668493150685,4587
2023.668493150685,6118
2023.7013698630137,1523
2023.7013698630137,3058
2023.7013698630137,4589
2023.7013698630137,6122
2023.7342465753425,1535
2023.7342465753425,3066
2023.7342465753425,4599
2023.7342465753425,6140
2023.7671232876712,1531
2023.7671232876712,3064
2023.7671232876712,4605
2023.7671232876712,6151
2023.8,1533
2023.8,3074
2023.8,4620
2023.8,6160
2023.8328767123287,1541
2023.8328767123287,3087
2023.8328767123287,4627
2023.8328767123287,6195
2023.8657534246574,1546
2023.8657534246574,3086
2023.8657534246574,4654
2023.8657534246574,6196
2023.8986301369864,1540
2023.8986301369864,3108
2023.8986301369864,4650
2023.9315068493152,1568
2023.9315068493152,3110
2023.964383561644,1542
