"Granule Name",Platform,Sensor,"Beam Mode","Beam Mode Description",Orbit,"Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?",URL,"Size (MB)","Off Nadir Angle","Stack Size",Doppler,GroupID,"Pointing Angle",relativeBurstID,absoluteBurstID,fullBurstID,burstIndex,azimuthTime,azimuthAnxTime,samplesPerBurst,subswath
S1B_IW_SLC__1SDV_20211223T051056_20211223T051123_030148_039993_53D5,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",30148,22,448,2021-12-23T05:11:23.957809Z,2021-12-23T05:10:56.993021Z,SLC,2021-12-23T05:10:56.993021Z,2021-12-23T05:11:23.957809Z,43.3154,13.9466,43.913879,15.726027,44.312752,12.550325,42.296268,15.291086,42.69529,12.201401,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211223T051056_20211223T051123_030148_039993_53D5.zip,3870.73346614838,,,0,S1B_IWDV_0447_0454_030148_022,,,,,,,,,
S1B_IW_SLC__1SDV_20211223T051031_20211223T051059_030148_039993_EEE7,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",30148,22,443,2021-12-23T05:10:59.139023Z,2021-12-23T05:10:31.201957Z,SLC,2021-12-23T05:10:31.201957Z,2021-12-23T05:10:59.139023Z,44.8325,14.3277,45.458447,16.166286,45.858421,12.896806,43.783703,15.701494,44.183388,12.528394,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211223T051031_20211223T051059_030148_039993_EEE7.zip,3917.00570964813,,,0,S1B_IWDV_0442_0449_030148_022,,,,,,,,,
S1A_IW_SLC__1SDV_20211222T051938_20211222T052005_041117_04E2A1_A547,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",41117,95,445,2021-12-22T05:20:05.682604Z,2021-12-22T05:19:38.703427Z,SLC,2021-12-22T05:19:38.703427Z,2021-12-22T05:20:05.682604Z,44.16,12.0659,44.757217,13.881864,45.157932,10.637411,43.139359,13.439982,43.540047,10.28591,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211222T051938_20211222T052005_041117_04E2A1_A547.zip,4211.35199546814,,,0,S1A_IWDV_0444_0451_041117_095,,,,,,,,,
S1A_IW_SLC__1SDV_20211222T051913_20211222T051940_041117_04E2A1_E32A,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",41117,95,440,2021-12-22T05:19:40.853540Z,2021-12-22T05:19:13.882585Z,SLC,2021-12-22T05:19:13.882585Z,2021-12-22T05:19:40.853540Z,45.6489,12.4351,46.244686,14.300626,46.64576,10.966633,44.628475,13.845051,45.029091,10.60853,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211222T051913_20211222T051940_041117_04E2A1_E32A.zip,4193.49805259705,,,0,S1A_IWDV_0439_0446_041117_095,,,,,,,,,
S1B_IW_SLC__1SDV_20211221T052723_20211221T052750_030119_0398B0_FF06,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",30119,168,448,2021-12-21T05:27:50.323798Z,2021-12-21T05:27:23.352843Z,SLC,2021-12-21T05:27:23.352843Z,2021-12-21T05:27:50.323798Z,43.3947,9.8401,43.995918,11.604598,44.390099,8.459463,42.377987,11.169661,42.772308,8.109955,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211221T052723_20211221T052750_030119_0398B0_FF06.zip,3591.51798439026,,,0,S1B_IWDV_0448_0453_030119_168,,,,,,,,,
S1B_IW_SLC__1SDV_20211221T052657_20211221T052725_030119_0398B0_849F,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",30119,168,442,2021-12-21T05:27:25.505011Z,2021-12-21T05:26:57.576168Z,SLC,2021-12-21T05:26:57.576168Z,2021-12-21T05:27:25.505011Z,44.9127,10.2107,45.541443,12.03088,45.935696,8.798439,43.867229,11.566733,44.261204,8.429791,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211221T052657_20211221T052725_030119_0398B0_849F.zip,4513.25625324249,,,0,S1B_IWDV_0442_0448_030119_168,,,,,,,,,
S1B_IW_SLC__1SDV_20211221T052632_20211221T052659_030119_0398B0_86F9,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",30119,168,437,2021-12-21T05:26:59.711890Z,2021-12-21T05:26:32.751214Z,SLC,2021-12-21T05:26:32.751214Z,2021-12-21T05:26:59.711890Z,46.4344,10.5578,47.034569,12.411683,47.426098,9.106475,45.419548,11.95014,45.810421,8.744009,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211221T052632_20211221T052659_030119_0398B0_86F9.zip,4251.84194278717,,,0,S1B_IWDV_0437_0443_030119_168,,,,,,,,,
S1A_IW_SLC__1SDV_20211220T053600_20211220T053627_041088_04E198_A7B6,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",41088,66,444,2021-12-20T05:36:27.574416Z,2021-12-20T05:36:00.582906Z,SLC,2021-12-20T05:36:00.582906Z,2021-12-20T05:36:27.574416Z,44.5093,8.0118,45.108479,9.827914,45.505825,6.58496,43.49012,9.383757,43.887386,6.232203,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211220T053600_20211220T053627_041088_04E198_A7B6.zip,4241.34477329254,,,0,S1A_IWDV_0444_0449_041088_066,,,,,,,,,
S1A_IW_SLC__1SDV_20211220T053535_20211220T053602_041088_04E198_7C46,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",41088,66,439,2021-12-20T05:36:02.739185Z,2021-12-20T05:35:35.760008Z,SLC,2021-12-20T05:35:35.760008Z,2021-12-20T05:36:02.739185Z,45.9985,8.3812,46.596085,10.247046,46.993706,6.914312,44.97963,9.789042,45.376736,6.554872,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211220T053535_20211220T053602_041088_04E198_7C46.zip,4333.58361148834,,,0,S1A_IWDV_0438_0445_041088_066,,,,,,,,,
S1A_IW_SLC__1SDV_20211217T051127_20211217T051154_041044_04E03C_4EAE,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",41044,22,445,2021-12-17T05:11:54.445532Z,2021-12-17T05:11:27.458133Z,SLC,2021-12-17T05:11:27.458133Z,2021-12-17T05:11:54.445532Z,44.0373,14.1051,44.634392,15.919601,45.035995,12.677683,43.015953,15.478256,43.417545,12.326321,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211217T051127_20211217T051154_041044_04E03C_4EAE.zip,3729.68628787994,,,0,S1A_IWDV_0446_0451_041044_022,,,,,,,,,
