Data,BO28-00,BO55-01,BOF8-00,BOG0-00,FC06-02,FC14-02,FC16-01,FC20-00,FC83-01,FC90-00,FE80-00,FE81-00,MO08-00,MO43-01,MO64-00,MO72-01,MO80-00,MO81-00,PC27-02,PC56-03,PC96-00,PR23-02,PR32-00,PRB3-00,PRB4-00,RA34-02,RA58-00,RE15-00,RE25-00,RE55-00,RE79-01,RE84-00,RN03-00,RN04-00,RN05-00,RN06-00
1/1/2009,,,45.24,9.26,,,5.34,15.81,,,,1.38,4.37,4.07,20.23,26.67,,,8.96,9.2,,,,18.09,19.67,,15.58,,23.19,,18.59,,,,19.87,
2/1/2009,,,45.15,9.25,,,5.34,15.78,,,,1.41,4.36,4.05,20.17,26.65,,,8.96,9.27,,,,18.05,19.64,,15.57,,23.14,,18.56,,,,19.8,
3/1/2009,,,45.1,9.24,,,5.34,15.71,,,,1.42,4.35,4.02,20.16,26.63,,,8.96,9.32,,,,18.04,19.57,,15.56,,23.15,,18.53,,,,19.74,
4/1/2009,,,45.05,9.23,,,5.34,15.68,,,,1.44,4.34,4,20.14,26.59,,,8.98,9.38,,,,18.01,19.59,,15.55,,23.13,,18.49,,,,19.67,
5/1/2009,,,44.82,9.21,,,5.34,15.66,,,,1.45,4.33,4.03,20.1,26.57,,,8.98,9.43,,,,17.98,19.54,,15.53,,23.09,,18.46,,,,19.61,
6/1/2009,,,44.64,9.2,,,5.34,,,,,1.47,4.32,4.04,20.08,26.56,,,9,9.49,,,,17.97,19.51,,15.53,,23.13,,18.46,,,,19.56,
7/1/2009,,,44.64,9.18,,,5.34,,,,,1.49,4.31,4.03,20.07,26.53,,,9.01,9.56,,,,17.97,19.52,,15.52,,23.12,,18.45,,,,19.5,
8/1/2009,,,44.63,9.18,,,5.34,,,,,1.31,4.31,4,20.21,26.53,,,9.02,9.61,,,,17.97,19.52,,15.52,,23.18,,18.45,,,,19.4,
9/1/2009,,,44.47,9.19,,,5.34,,,,,1.2,4.31,3.89,20.35,26.52,,,9.05,9.68,,,,18.02,19.41,,15.55,,23.2,,18.45,,,,19.33,
10/1/2009,,,44.53,9.18,,,5.34,,,,,1.19,4.31,3.83,20.23,26.48,,,9.04,9.72,,,,17.97,19.44,,15.55,,23.18,,18.44,,,,19.33,
11/1/2009,,,45.06,9.18,,,5.34,,,,,1.21,4.29,3.78,20.2,26.47,,,9.06,9.76,,,,17.98,19.49,,15.55,,23.23,,18.44,,,,19.28,
12/1/2009,,,45.52,9.16,,,5.34,,,,,1.23,4.29,3.75,20.18,26.43,,,9.07,9.81,,,,17.96,19.51,,15.53,,23.21,,18.39,,,,19.24,
13/1/2009,,,45.57,9.12,,,5.34,,,,,1.25,4.33,,20.31,26.37,,,9.07,9.85,,,,17.91,19.46,,15.5,,23.11,,18.31,,,,19.17,
14/1/2009,,,45.58,9.09,,,5.34,,,,,1.25,4.28,,20.27,26.34,,,9.06,9.87,,,,17.86,19.39,,15.48,,23.18,,18.29,,,,19.1,
15/1/2009,,,45.44,9.1,,,5.34,,,,,1.28,4.24,3.89,20.31,26.35,,,9.07,9.91,,,,17.88,19.43,,15.49,,23.21,,18.31,,,,19.01,
16/1/2009,,,45.34,9.11,,,5.34,,,,,1.29,4.23,3.8,20.4,26.36,,,9.1,9.97,,,,17.9,19.34,,15.51,,23.22,,18.35,,,,18.95,
17/1/2009,,,45.22,9.1,,,5.34,,,,,1.29,4.23,3.77,20.24,26.33,,,9.08,10.01,,,,17.89,19.31,,15.51,,23.21,,18.31,,,,18.92,
18/1/2009,,,45.17,9.07,,,5.34,,,,,1.27,4.2,3.85,20.12,26.26,,,9.04,10.02,,,,17.82,19.32,,15.47,,23.18,,18.23,,,,18.91,
19/1/2009,,,45,9.04,,,5.34,,,,,1.28,4.2,3.88,20.09,26.23,,,9.02,10.03,,,,17.78,19.38,,15.45,,23.09,,18.16,,,,18.84,
20/1/2009,,,45.12,8.99,,,5.34,,,,,1.28,4.21,3.87,20.18,26.18,,,8.91,9.82,,,,17.71,19.4,,15.42,,23.11,,18.13,,,,18.74,
21/1/2009,,,45.17,9,,,5.34,,,,,1.32,4.18,3.72,20.2,26.2,,,8.81,9.71,,,,17.68,19.13,,15.42,,23.03,,18.15,,,,18.64,
22/1/2009,,,44.9,9.01,,,5.34,,,,,1.34,4.17,3.71,20.24,26.18,,,8.71,9.59,,,,17.6,19.06,,15.43,,23,,18.11,,,,18.58,
23/1/2009,,,44.81,,,,5.34,,,,,1.29,4.11,3.78,20.17,26.09,,,8.6,9.45,,,,17.48,18.94,,15.38,,22.92,,18.01,,,,18.57,
24/1/2009,,,44.76,,,,5.34,,,,,1.3,4.11,3.86,19.94,26.08,,,8.54,9.37,,,,17.43,18.88,,15.36,,22.97,,18,,,,18.49,
25/1/2009,,,44.8,,,,5.34,,,,,1.11,4.09,3.78,19.87,26.09,,,8.51,9.34,,,,17.41,18.83,,15.37,,22.93,,18.02,,,,18.36,
26/1/2009,,,44.92,,,,5.34,,,,,1.08,4.1,3.73,19.96,26.08,,,8.46,9.32,,,,17.38,18.76,,15.36,,22.85,,18,,,,18.32,
27/1/2009,,,45.15,,,,5.34,,,,,1.08,4.09,3.72,20.09,26.06,,,8.38,9.31,,,,17.32,18.73,,15.36,,22.81,,17.97,,,,18.28,
28/1/2009,,,45.33,,,,5.34,,,,,1.08,4.11,3.64,20.13,26.05,,,8.32,9.3,,,,17.26,18.62,,15.37,,22.79,,17.93,,,,18.2,
29/1/2009,,,45.51,,,,5.34,,,,,1.08,4.09,3.58,20.11,26.03,,,8.25,9.3,,,,17.2,18.76,,15.38,,22.8,,17.89,,,,18.16,
30/1/2009,,,45.48,,,,5.34,,,,,1.1,4.08,3.52,20.11,26,,,8.2,9.31,,,,17.11,18.74,,15.39,,22.9,,17.81,,,,18.11,
31/1/2009,,,45.3,,,,5.34,,,,,1.12,4.11,3.53,19.86,25.95,,,8.16,9.3,,,,17,18.65,,15.37,,22.81,,17.69,,,,18.1,
1/2/2009,,,45.27,,,,5.34,,,,,1.14,4.07,3.62,19.76,25.92,,,8.12,9.28,,,,16.92,18.57,,15.35,,22.73,,17.62,,,,18.11,
2/2/2009,,,45.22,,,,5.34,,,,,1.1,4.05,3.57,19.72,25.86,,,8.08,9.29,,,,16.81,18.54,,15.31,,22.43,,17.5,,,,18.08,
3/2/2009,,,45.18,,,,5.34,,,,,0.84,4.01,3.51,19.72,25.84,,,8.01,9.27,,,,16.72,18.52,,15.29,,22.33,,17.41,,,,18.02,
4/2/2009,,,44.93,,,,5.34,,,,,0.86,4.03,3.52,19.69,25.81,,,7.92,9.23,,,,16.65,18.47,,15.28,,22.17,,17.37,,,,17.88,
5/2/2009,,,44.91,,,,5.34,,,,,0.77,4.06,3.5,19.65,25.8,,,7.86,9.15,,,,16.58,18.41,,15.3,,22.12,,17.26,,,,17.83,
6/2/2009,,,44.81,,,,5.34,,,,,0.79,4.03,3.55,19.5,25.74,,,7.65,8.89,,,,16.42,18.29,,15.27,,22.06,,17.13,,,,17.81,
7/2/2009,,,,,,,5.34,,,,,0.79,3.99,3.59,19.2,25.67,,,7.42,8.48,,,,16.2,18.15,,15.24,,21.91,,17.05,,,,17.72,
8/2/2009,,,,,,,5.34,,,,,0.82,3.99,3.65,19.13,25.67,,,7.35,8.16,,,,16.07,18.14,,15.23,,21.87,,17.03,,,,17.61,
9/2/2009,,,,,,,5.34,,,,,0.88,4.01,3.51,19.11,25.7,,,7.32,8.01,,,,15.95,18.17,,15.27,,21.76,,17.01,,,,17.5,
10/2/2009,,,,,,,5.34,,,,,0.89,4.01,3.5,19.19,25.64,,,7.26,7.89,,,,15.74,18.05,,15.25,,21.72,,16.86,,,,17.48,
11/2/2009,,,,,,,5.34,,,,,0.9,3.98,3.47,19.12,,,,7.24,7.86,,,,15.68,17.97,,15.25,,21.49,,16.83,,,,17.45,
12/2/2009,,,,,,,5.34,,,,,0.96,4.04,3.42,19.09,,,,7.25,7.85,,,,15.6,17.96,,15.26,,21.42,,16.77,,,,17.4,
13/2/2009,,,,,,,5.34,,,,,0.99,4.02,3.37,19.06,,,,7.27,7.87,,,,15.53,17.92,,15.26,,21.39,,16.7,,,,17.33,
14/2/2009,,,,,,,5.34,,,,,1.03,4,3.52,18.86,,,,7.29,7.9,,,,15.47,17.87,,15.26,,21.38,,16.66,,,,17.29,
15/2/2009,,,,,,,5.34,,,,,1.07,3.98,3.37,18.82,,,,7.32,7.96,,,,15.45,17.86,,15.27,,21.38,,16.61,,,,17.22,
16/2/2009,,,,,,,5.34,,,,,1.11,3.94,3.33,18.77,,,,7.35,8.03,,,,15.38,17.79,,15.26,,21.27,,16.51,,,,17.2,
17/2/2009,,,,,,,5.34,,,,,1.12,4,3.34,18.81,,,,7.36,8.1,,,,15.27,17.69,,15.22,,21.21,,16.39,,,,17.21,
18/2/2009,,,,,,,5.34,,,,,1.14,4,3.3,18.77,,,,7.36,8.14,,,,15.26,17.68,,15.22,,21.24,,16.41,,,,17.19,
19/2/2009,,,,,,,5.34,,,,,1.19,3.99,3.25,18.82,,,,7.43,8.24,,,,15.28,17.66,,15.24,,21.21,,16.39,,,,17.12,
20/2/2009,,,,,,,5.34,,,,,1.23,3.98,3.32,18.85,,,,7.47,8.32,,,,15.29,17.65,,15.24,,21.21,,16.35,,,,17.07,
21/2/2009,,,,,,,5.34,,,,,1.25,3.95,3.43,18.66,,,,7.49,8.4,,,,15.25,17.58,,15.24,,21.23,,16.3,,,,17.08,
22/2/2009,,,,,,,5.34,,,,,1.27,3.92,3.42,18.56,,,,7.51,8.47,,,,15.2,17.49,,15.21,,21.19,,16.22,,,,17.1,
23/2/2009,,,,,,,5.34,,,,,1.28,3.9,3.36,18.52,,,,7.53,8.53,,,,15.16,17.44,,15.19,,21.15,,16.18,,,,17.07,
24/2/2009,,,,,,,5.34,,,,,1.3,3.9,3.46,18.66,,,,7.55,8.6,,,,15.15,17.43,,15.19,,21.18,,16.17,,,,17.01,
25/2/2009,,,,,,,5.34,,,,,1.35,,,18.74,,,,7.62,8.7,,,,15.22,17.49,,,,21.23,,16.21,,,,16.93,
26/2/2009,,,,,,,5.34,,,,,1.34,,,18.72,,,,7.65,8.78,,,,15.17,17.38,,,,21.16,,16.1,,,,16.92,
27/2/2009,,,,,,,5.34,,,,,1.34,,,18.68,,,,7.66,8.83,,,,15.12,17.3,,,,21.18,,16.08,,,,16.91,
28/2/2009,,,,,,,5.34,,,,,1.36,,,18.56,,,,7.69,8.9,,,,15.14,17.3,,,,21.16,,16.08,,,,16.87,
1/3/2009,,,,,,,5.34,,,,,1.37,,,18.46,,,,7.72,8.97,,,,15.12,17.24,,,,21.14,,16.03,,,,16.87,
2/3/2009,,,,,,,5.34,,,,,1.37,,,18.45,,,,7.74,9.02,,,,15.11,17.18,,,,21.1,,16.02,,,,16.89,
3/3/2009,,,,,,,5.34,,,,,1.39,,,18.56,,,,7.78,9.08,,,,15.11,17.16,,,,21.14,,15.96,,,,16.87,
4/3/2009,,,,,,,5.34,,,,,1.32,,,18.49,,,,7.77,9.1,,,,15,17.08,,,,21.06,,15.79,,,,16.84,
5/3/2009,,,,,,,5.34,,,,,1.1,,,18.35,,,,7.7,9.07,,,,14.92,17.02,,,,21.03,,15.75,,,,16.67,
6/3/2009,,,,,,,5.34,,,,,0.84,,,18.42,,,,7.66,9.01,,,,14.96,16.99,,,,21.08,,15.85,,,,16.37,
7/3/2009,,,,,,,5.34,,,,,0.83,,,18.39,,,,7.65,8.96,,,,14.98,17.03,,,,21.11,,15.89,,,,16.37,
8/3/2009,,,,,,,5.34,,,,,0.97,,,18.37,,,,7.65,8.92,,,,15,17.01,,,,21.05,,15.88,,,,16.36,
9/3/2009,,,,,,,5.34,,,,,0.99,,,18.37,,,,7.64,8.89,,,,14.95,16.91,,,,21.03,,15.87,,,,16.33,
10/3/2009,,,,,,,5.34,,,,,1.05,,,18.55,,,,7.68,8.91,,,,15,16.93,,,,21.07,,15.87,,,,16.32,
11/3/2009,,,,,,,5.34,,,,,1.06,,,18.53,,,,7.69,8.89,,,,14.95,16.83,,,,21.03,,15.85,,,2.44,16.29,
12/3/2009,,,,,,,5.34,,,,,1.12,,,18.63,,,,7.74,8.94,,,,15,16.87,,,,21.11,,15.85,,,2.44,16.28,
13/3/2009,,,,,,,5.34,,,,,1.13,,,18.6,,,,7.74,8.96,,,,14.94,16.77,,,,21.06,,15.82,,,2.39,16.25,
14/3/2009,,,,,,,5.34,,,,,1.16,,,18.55,,,,7.76,9.01,,,,14.97,16.79,,,,21.1,,15.83,,,2.37,16.23,
15/3/2009,,,,,,,5.34,,,,,1.19,,,18.48,,,,7.79,9.05,,,,14.95,16.72,,,,21.09,,15.81,,,2.35,16.21,
16/3/2009,,,,,,,5.34,,,,,1.22,,,18.5,,,,7.82,9.1,,,,14.97,16.74,,,,21.07,,15.84,,,2.37,16.21,
17/3/2009,,,,,,,5.34,,,,,1.25,,,18.68,,,,7.85,9.14,,,,14.96,16.69,,,,21.04,,15.78,,,2.36,16.18,
