Prov,Codice,Tipologia stazione,Comune,Codice_GWB_2021-2027,Nome_GWB_2021-2027,XUTM-ETRS89,YUTM-ETRS89,Quota Piano Campagna (m),Profondità pozzo (m),Posizione filtri ,N tot filtri,Inizio filtri: da m,Fine filtri: a m,Uso
BO,BO03-01,Pozzo,SAN PIETRO IN CASALE,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,690997,4952708,16,205,,3,61,202,Industriale
BO,BO05-00,Pozzo,SANT AGATA BOLOGNESE,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,669136,4947084,22.19,177,Fondo foro,1,168,172,Industriale
BO,BO06-00,Pozzo,SAN GIOVANNI IN PERSICETO,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,674133,4946699,17.92,615.19,,32,73.5,615.19,Non in uso
BO,BO07-00,Pozzo,SALA BOLOGNESE,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,680112,4947393,22.5,125.09,Fondo foro,1,119,125.09,Non in uso
BO,BO08-00,Pozzo,SAN GIOVANNI IN PERSICETO,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,676011,4943790,25.25,106,Fondo foro,1,103,106,Non in uso
BO,BO11-01,Pozzo,ANZOLA EMILIA,0410ER-DQ2-CCS,Conoide Panaro - confinato superiore,669527,4937118,44,175.92,,5,84,171.44,Antincendio
BO,BO12-00,Pozzo,VALSAMOGGIA,0410ER-DQ2-CCS,Conoide Panaro - confinato superiore,668956,4935544,48,54,,,,,Irriguo
BO,BO13-00,Pozzo,CALDERARA DI RENO,2442ER-DQ2-CCI,Conoide Reno-Lavino - confinato inferiore,677141,4935958,36.4,348,,3,180.5,347.74,Industriale
BO,BO14-00,Pozzo,CALDERARA DI RENO,0442ER-DQ2-CCS,Conoide Reno-Lavino - confinato superiore,677197,4935970,36.89,30,Fondo foro,1,22,30,Industriale
BO,BO15-01,Pozzo,ANZOLA EMILIA,2420ER-DQ2-CCI,Conoide Samoggia - confinato inferiore,675076,4934381,41.5,318.61,,5,127.4,306.5,Industriale
BO,BO16-00,Pozzo,ANZOLA EMILIA,0442ER-DQ2-CCS,Conoide Reno-Lavino - confinato superiore,676572,4933961,43.19,88.3,Fondo foro,1,77.35,82.1,Industriale
BO,BO17-00,Pozzo,CALDERARA DI RENO,0442ER-DQ2-CCS,Conoide Reno-Lavino - confinato superiore,679930,4934498,37.3,75,Fondo foro,1,62,73,Industriale
BO,BO18-00,Pozzo,VALSAMOGGIA,2420ER-DQ2-CCI,Conoide Samoggia - confinato inferiore,667844,4931516,68.51,99,,4,52,97,Irriguo
