Codice,Tipologia stazione,Provincia,Comune,Codice_GWB-PdG_2021-2027,Nome_GWB_2021-2027,XUTM-ETRS89,YUTM-ETRS89,Quota Piano Campagna (m),Profondità pozzo (m),Posizione filtri ,N tot filtri,Inizio filtri: da m,Fine filtri: a m
BO03-01,Pozzo,BO,SAN PIETRO IN CASALE,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,690997,4952708,16,205,,3,61,202
BO05-00,Pozzo,BO,SANT'AGATA BOLOGNESE,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,669136,4947084,22.19,177,Fondo foro,1,168,172
BO06-00,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,674133,4946699,17.92,615.19,,32,73.5,615.19
BO07-00,Pozzo,BO,SALA BOLOGNESE,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,680112,4947393,22.5,125.09,Fondo foro,1,119,125.09
BO08-00,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,676011,4943790,25.25,106,Fondo foro,1,103,106
BO11-01,Pozzo,BO,ANZOLA EMILIA,IT080410ER-DQ2-CCS,Conoide Panaro - confinato superiore,669527,4937118,44,175.92,,5,84,171.44
BO12-00,Pozzo,BO,VALSAMOGGIA,IT080410ER-DQ2-CCS,Conoide Panaro - confinato superiore,668956,4935544,48,54,,,,
BO13-00,Pozzo,BO,CALDERARA DI RENO,IT082442ER-DQ2-CCI,Conoide Reno-Lavino - confinato inferiore,677141,4935958,36.4,348,,3,180.5,347.74
BO14-00,Pozzo,BO,CALDERARA DI RENO,IT080442ER-DQ2-CCS,Conoide Reno-Lavino - confinato superiore,677197,4935970,36.89,30,Fondo foro,1,22,30
BO15-01,Pozzo,BO,ANZOLA EMILIA,IT082420ER-DQ2-CCI,Conoide Samoggia - confinato inferiore,675076,4934381,41.5,318.61,,5,127.4,306.5
