Codice,Data,Piezometria (m),Soggiacenza (m)
BO-F01-00,9/5/2012,22.13,2.07
BO-F01-00,25/6/2012,21.90,2.30
BO-F01-00,4/7/2012,21.90,2.30
BO-F01-00,8/8/2012,21.62,2.58
BO-F01-00,5/9/2012,21.57,2.63
BO-F01-00,24/10/2012,21.57,2.63
BO-F01-00,12/11/2012,21.65,2.55
BO-F01-00,5/12/2012,21.90,2.30
BO-F01-00,9/1/2013,22.05,2.15
BO-F01-00,5/2/2013,23.20,1.00
BO-F01-00,8/4/2013,23.64,0.56
BO-F01-00,12/6/2013,23.10,1.10
BO-F01-00,3/7/2013,22.75,1.45
BO-F01-00,11/9/2013,22.02,2.18
BO-F01-00,7/10/2013,21.90,2.30
BO-F01-00,22/1/2014,23.12,1.08
BO-F01-00,17/2/2014,23.58,0.62
BO-F01-00,5/3/2014,23.86,0.34
BO-F01-00,8/4/2014,23.49,0.71
BO-F01-00,12/5/2014,23.30,0.90
BO-F02-00,1/4/2010,21.48,2.72
BO-F02-00,24/6/2010,22.95,1.25
BO-F02-00,27/7/2010,21.60,2.60
BO-F02-00,2/11/2010,21.45,2.75
BO-F02-00,7/4/2011,21.68,2.52
BO-F02-00,29/9/2011,22.45,1.75
BO-F02-00,5/4/2012,20.79,3.41
BO-F02-00,2/5/2012,20.69,3.51
BO-F02-00,31/7/2012,19.35,4.85
BO-F02-00,9/10/2012,20.25,3.95
BO-F02-00,30/10/2012,21.00,3.20
BO-F02-00,11/3/2013,23.48,0.72
BO-F02-00,2/4/2013,23.57,0.63
BO-F02-00,29/5/2013,23.37,0.83
BO-F02-00,5/8/2013,21.23,2.97
BO-F02-00,2/9/2013,22.90,1.30
BO-F02-00,7/10/2013,21.91,2.29
BO-F02-00,25/11/2013,22.78,1.42
BO-F02-00,13/1/2014,22.95,1.25
BO-F02-00,2/4/2014,23.39,0.81
BO-F02-00,6/5/2014,23.35,0.85
BO-F02-00,23/9/2014,22.30,1.90
BO-F02-00,9/4/2015,23.30,0.90
BO-F02-00,27/10/2015,20.75,3.45
BO-F02-00,13/4/2016,22.65,1.55
BO-F02-00,6/10/2016,21.00,3.20
BO-F02-00,29/3/2017,22.25,1.95
BO-F02-00,26/9/2017,20.35,3.85
BO-F02-00,5/4/2018,23.13,1.07
BO-F02-00,9/10/2018,21.00,3.20
BO-F02-00,8/4/2019,22.57,1.63
BO-F02-00,24/9/2019,20.87,3.33
BO-F02-00,27/5/2020,21.40,2.80
BO-F02-00,22/9/2020,20.07,4.13
BO-F02-00,29/4/2021,22.48,1.72
BO-F02-00,5/10/2021,20.13,4.07
BO-F02-00,5/4/2022,20.57,3.63
BO-F02-00,11/7/2022,19.53,4.67
BO-F02-00,6/10/2022,19.23,4.97
BO-F02-00,18/1/2023,19.89,4.31
BO-F02-00,20/4/2023,20.05,4.15
BO-F02-00,4/7/2023,21.83,2.37
BO-F02-00,2/11/2023,20.48,3.72
BO-F02-00,13/2/2024,21.25,2.95
BO-F02-00,2/5/2024,22.16,2.04
BO-F02-00,16/7/2024,20.06,4.14
BO-F02-00,22/10/2024,22.39,1.81
BO-F04-00,30/3/2010,10.90,1.40
BO-F04-00,21/6/2010,10.51,1.79
BO-F04-00,28/7/2010,10.03,2.27
BO-F04-00,28/10/2010,9.71,2.59
BO-F04-00,12/4/2011,10.50,1.80
BO-F04-00,13/10/2011,9.06,3.24
BO-F04-00,3/4/2012,8.96,3.34
BO-F04-00,2/10/2012,8.73,3.57
BO-F04-00,11/4/2013,11.06,1.24
BO-F04-00,8/10/2013,9.29,3.01
BO-F04-00,13/5/2014,11.00,1.30
BO-F04-00,25/9/2014,9.33,2.97
BO-F04-00,16/4/2015,10.72,1.58
BO-F04-00,22/10/2015,9.34,2.96
BO-F04-00,21/4/2016,10.10,2.20
BO-F04-00,13/10/2016,10.02,2.28
BO-F04-00,30/3/2017,10.48,1.82
BO-F04-00,28/9/2017,9.33,2.97
BO-F04-00,11/4/2018,10.74,1.56
BO-F04-00,16/10/2018,9.95,2.35
BO-F04-00,2/4/2019,10.32,1.98
BO-F04-00,3/9/2019,9.87,2.43
BO-F04-00,25/11/2019,10.50,1.80
BO-F04-00,4/6/2020,9.95,2.35
BO-F04-00,29/9/2020,9.09,3.21
BO-F04-00,29/4/2021,9.98,2.32
BO-F04-00,7/10/2021,8.80,3.50
BO-F04-00,12/4/2022,8.90,3.40
BO-F04-00,6/7/2022,9.40,2.90
BO-F04-00,13/10/2022,8.72,3.58
BO-F04-00,18/1/2023,8.97,3.33
BO-F04-00,13/4/2023,9.46,2.84
BO-F04-00,10/7/2023,10.05,2.25
BO-F04-00,30/10/2023,9.02,3.28
BO-F04-00,8/2/2024,9.41,2.89
BO-F04-00,9/5/2024,9.88,2.42
BO-F04-00,24/7/2024,9.52,2.78
BO-F04-00,24/10/2024,10.08,2.22
BO-F07-00,6/10/2016,17.60,0.50
BO-F07-00,29/3/2017,16.73,1.37
BO-F07-00,26/9/2017,15.85,2.25
BO-F07-00,5/4/2018,17.00,1.10
BO-F07-00,9/10/2018,16.05,2.05
BO-F07-00,24/9/2019,16.12,1.98
BO-F07-00,27/5/2020,15.55,2.55
BO-F07-00,22/9/2020,16.25,1.85
BO-F07-00,22/4/2021,16.85,1.25
BO-F07-00,5/10/2021,16.03,2.07
BO-F07-00,5/4/2022,15.62,2.48
BO-F07-00,11/7/2022,14.69,3.41
BO-F07-00,6/10/2022,15.98,2.12
BO-F07-00,18/1/2023,16.58,1.52
BO-F07-00,20/4/2023,16.50,1.60
BO-F07-00,4/7/2023,15.26,2.84
BO-F07-00,2/11/2023,16.23,1.87
BO-F07-00,13/2/2024,16.47,1.63
BO-F07-00,2/5/2024,16.79,1.31
BO-F07-00,16/7/2024,15.31,2.79
BO-F07-00,22/10/2024,17.20,0.90
BO-F08-00,1/4/2010,20.09,1.11
BO-F08-00,24/6/2010,20.00,1.20
BO-F08-00,27/7/2010,19.37,1.83
BO-F08-00,2/11/2010,19.10,2.10
BO-F08-00,7/4/2011,18.54,2.66
BO-F08-00,29/9/2011,18.70,2.50
BO-F08-00,5/4/2012,18.55,2.65
BO-F08-00,9/10/2012,17.26,3.94
BO-F08-00,2/4/2013,20.27,0.93
BO-F08-00,7/10/2013,19.20,2.00
BO-F08-00,6/5/2014,20.40,0.80
BO-F08-00,23/9/2014,18.98,2.22
BO-F08-00,9/4/2015,20.12,1.08
BO-F08-00,27/10/2015,18.88,2.32
BO-F08-00,14/4/2016,19.82,1.38
BO-F08-00,6/10/2016,18.85,2.35
BO-F08-00,29/3/2017,19.50,1.70
BO-F08-00,26/9/2017,18.64,2.56
BO-F08-00,5/4/2018,19.38,1.82
BO-F08-00,9/10/2018,17.89,3.31
BO-F08-00,8/4/2019,18.77,2.43
BO-F08-00,24/9/2019,18.88,2.32
BO-F08-00,22/9/2020,18.55,2.65
BO-F08-00,22/4/2021,18.90,2.30
BO-F08-00,5/10/2021,18.04,3.16
BO-F08-00,5/4/2022,17.40,3.80
BO-F08-00,11/7/2022,17.87,3.33
BO-F08-00,6/10/2022,17.97,3.23
BO-F08-00,18/1/2023,18.79,2.41
BO-F08-00,20/4/2023,16.60,4.60
BO-F08-00,4/7/2023,17.31,3.89
BO-F08-00,2/11/2023,18.20,3.00
BO-F08-00,13/2/2024,18.67,2.53
BO-F08-00,2/5/2024,19.51,1.69
BO-F08-00,16/7/2024,19.24,1.96
BO-F08-00,22/10/2024,19.20,2.00
BO-F11-00,30/3/2010,13.44,0.86
BO-F11-00,21/6/2010,13.78,0.52
BO-F11-00,28/7/2010,12.54,1.76
BO-F11-00,28/10/2010,12.03,2.27
BO-F11-00,20/4/2011,13.03,1.27
BO-F11-00,18/10/2011,12.03,2.27
BO-F11-00,3/4/2012,11.68,2.62
BO-F11-00,16/5/2012,11.87,2.43
BO-F11-00,11/6/2012,11.98,2.32
BO-F11-00,11/7/2012,11.59,2.71
BO-F11-00,10/9/2012,11.31,2.99
BO-F11-00,2/10/2012,11.45,2.85
BO-F11-00,19/11/2012,11.64,2.66
BO-F11-00,10/12/2012,11.85,2.45
BO-F11-00,17/1/2013,12.70,1.60
BO-F11-00,18/2/2013,13.50,0.80
BO-F11-00,11/4/2013,13.57,0.73
BO-F11-00,20/5/2013,13.32,0.98
BO-F11-00,11/7/2013,12.77,1.53
BO-F11-00,9/9/2013,11.65,2.65
BO-F11-00,8/10/2013,11.63,2.67
BO-F11-00,3/12/2013,11.87,2.43
BO-F11-00,29/1/2014,12.65,1.65
BO-F11-00,19/2/2014,13.45,0.85
BO-F11-00,17/3/2014,13.46,0.84
BO-F11-00,14/4/2014,13.25,1.05
BO-F11-00,13/5/2014,13.14,1.16
BO-F11-00,25/9/2014,12.13,2.17
BO-F11-00,16/4/2015,13.33,0.97
BO-F11-00,22/10/2015,12.00,2.30
BO-F12-00,30/3/2010,29.88,1.12
BO-F12-00,21/6/2010,29.45,1.55
BO-F12-00,28/7/2010,28.60,2.40
BO-F12-00,28/10/2010,28.18,2.82
BO-F12-00,12/4/2011,29.28,1.72
BO-F12-00,13/10/2011,27.28,3.72
BO-F12-00,3/4/2012,27.62,3.38
BO-F12-00,23/5/2012,27.75,3.25
BO-F12-00,18/7/2012,27.00,4.00
BO-F12-00,9/8/2012,26.73,4.27
BO-F12-00,22/8/2012,26.55,4.45
BO-F12-00,12/9/2012,26.40,4.60
BO-F12-00,2/10/2012,26.40,4.60
BO-F12-00,21/11/2012,26.73,4.27
BO-F12-00,12/12/2012,26.90,4.10
BO-F12-00,17/1/2013,27.45,3.55
BO-F12-00,20/2/2013,27.50,3.50
BO-F12-00,11/4/2013,29.92,1.08
BO-F12-00,20/5/2013,29.45,1.55
BO-F12-00,11/7/2013,28.60,2.40
BO-F12-00,9/9/2013,27.44,3.56
BO-F12-00,8/10/2013,27.80,3.20
BO-F12-00,3/12/2013,28.00,3.00
BO-F12-00,29/1/2014,28.80,2.20
BO-F12-00,10/2/2014,30.00,1.00
BO-F12-00,7/4/2014,29.60,1.40
BO-F12-00,13/5/2014,29.30,1.70
BO-F12-00,16/4/2015,29.79,1.21
BO-F12-00,22/10/2015,28.70,2.30
BO-F12-00,21/4/2016,29.40,1.60
BO-F12-00,13/10/2016,28.80,2.20
BO-F12-00,30/3/2017,29.38,1.62
BO-F12-00,28/9/2017,28.45,2.55
BO-F12-00,11/4/2018,29.68,1.32
