station_code,station_type,province,municipality,gwb_code,gwb_name,x_utm_etrs89,y_utm_etrs89,ground_elevation_m,well_depth_m,filter_position,n_filters,filter_start_m,filter_end_m,source_type,lon,lat,metadata_source,use
BO03-01,Pozzo,BO,SAN PIETRO IN CASALE,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,690997,4952708,16.0,205.0,,3.0,61.0,202.0,manual,11.4108891803,44.7022996781,manual,
BO05-00,Pozzo,BO,SANT'AGATA BOLOGNESE,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,669136,4947084,22.19,177.0,Fondo foro,1.0,168.0,172.0,manual,11.1332904598,44.6571959699,manual,
BO06-00,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,674133,4946699,17.92,615.19,,32.0,73.5,615.19,manual,11.1961406834,44.6525382329,manual,
BO07-00,Pozzo,BO,SALA BOLOGNESE,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,680112,4947393,22.5,125.09,Fondo foro,1.0,119.0,125.09,manual,11.2717327148,44.657306564,manual,
BO08-00,Pozzo,BO,SAN GIOVANNI IN PERSICETO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,676011,4943790,25.25,106.0,Fondo foro,1.0,103.0,106.0,manual,11.2188100982,44.625911863,manual,
BO11-01,Pozzo,BO,ANZOLA EMILIA,IT080410ER-DQ2-CCS,Conoide Panaro - confinato superiore,669527,4937118,44.0,175.92,,5.0,84.0,171.44,manual,11.1349299845,44.5674469272,manual,
BO12-00,Pozzo,BO,VALSAMOGGIA,IT080410ER-DQ2-CCS,Conoide Panaro - confinato superiore,668956,4935544,48.0,54.0,,,,,manual,11.1272278068,44.5534207413,manual,
BO13-00,Pozzo,BO,CALDERARA DI RENO,IT082442ER-DQ2-CCI,Conoide Reno-Lavino - confinato inferiore,677141,4935958,36.4,348.0,,3.0,180.5,347.74,manual,11.2303467918,44.5551797062,manual,
BO14-00,Pozzo,BO,CALDERARA DI RENO,IT080442ER-DQ2-CCS,Conoide Reno-Lavino - confinato superiore,677197,4935970,36.89,30.0,Fondo foro,1.0,22.0,30.0,manual,11.231055471,44.5552738883,manual,
BO15-01,Pozzo,BO,ANZOLA EMILIA,IT082420ER-DQ2-CCI,Conoide Samoggia - confinato inferiore,675076,4934381,41.5,318.61,,5.0,127.4,306.5,manual,11.203830425,44.5414977042,manual,
