time,n_pixels,soil_moisture_mean,soil_moisture_std,source_file
2017-06-01,0,,,SMAP_L3_SM_P_E_20170601_R19240_001.h5
2017-08-01,0,,,SMAP_L3_SM_P_E_20170801_R19240_001.h5
2017-10-01,0,,,SMAP_L3_SM_P_E_20171001_R19240_001.h5
2017-12-01,1,0.28860095143318176,0.0,SMAP_L3_SM_P_E_20171201_R19240_001.h5
2018-02-01,0,,,SMAP_L3_SM_P_E_20180201_R19240_001.h5
2018-04-01,0,,,SMAP_L3_SM_P_E_20180401_R19240_001.h5
2018-06-01,0,,,SMAP_L3_SM_P_E_20180601_R19240_001.h5
2018-08-01,0,,,SMAP_L3_SM_P_E_20180801_R19240_001.h5
2018-10-01,1,0.16814768314361572,0.0,SMAP_L3_SM_P_E_20181001_R19240_001.h5
2018-12-01,1,0.2866697609424591,0.0,SMAP_L3_SM_P_E_20181201_R19240_001.h5
2019-02-01,0,,,SMAP_L3_SM_P_E_20190201_R19240_001.h5
2019-04-01,0,,,SMAP_L3_SM_P_E_20190401_R19240_001.h5
2019-06-01,0,,,SMAP_L3_SM_P_E_20190601_R19240_001.h5
2019-08-01,1,0.21469631791114807,0.0,SMAP_L3_SM_P_E_20190801_R19240_001.h5
2019-10-01,1,0.18536435067653656,0.0,SMAP_L3_SM_P_E_20191001_R19240_001.h5
2019-12-01,1,0.379262238740921,0.0,SMAP_L3_SM_P_E_20191201_R19240_001.h5
2020-02-01,0,,,SMAP_L3_SM_P_E_20200201_R19240_001.h5
2020-04-01,0,,,SMAP_L3_SM_P_E_20200401_R19240_001.h5
2020-06-01,0,,,SMAP_L3_SM_P_E_20200601_R19240_001.h5
2020-08-01,0,,,SMAP_L3_SM_P_E_20200801_R19240_001.h5
2020-10-01,0,,,SMAP_L3_SM_P_E_20201001_R19240_001.h5
2020-12-01,1,0.23298610746860504,0.0,SMAP_L3_SM_P_E_20201201_R19240_001.h5
2021-02-01,0,,,SMAP_L3_SM_P_E_20210201_R19240_001.h5
2021-04-01,0,,,SMAP_L3_SM_P_E_20210401_R19240_001.h5
2021-06-01,0,,,SMAP_L3_SM_P_E_20210601_R19240_001.h5
2021-08-01,0,,,SMAP_L3_SM_P_E_20210801_R19240_001.h5
2021-10-01,1,0.2898086607456207,0.0,SMAP_L3_SM_P_E_20211001_R19240_001.h5
2021-12-01,1,0.25359830260276794,0.0,SMAP_L3_SM_P_E_20211201_R19240_001.h5
2022-02-01,0,,,SMAP_L3_SM_P_E_20220201_R19240_001.h5
2022-04-01,0,,,SMAP_L3_SM_P_E_20220401_R19240_001.h5
2022-06-01,0,,,SMAP_L3_SM_P_E_20220601_R19240_001.h5
2022-08-01,1,0.16315612196922302,0.0,SMAP_L3_SM_P_E_20220801_R19240_001.h5
2022-10-01,1,0.3021269142627716,0.0,SMAP_L3_SM_P_E_20221001_R19240_001.h5
