obs_id,lake_id,time_str,lake_name,wse,area_total,quality_f,lon,lat,source_file,product,time
214233R999920,2140010402;2140010372,2023-11-22T10:42:39Z,VALLE BERTUZZI,-1.514,48.069808,1.0,12.09649225944611,44.85858616024398,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:39+00:00
215231L000648,2150002432,2023-11-22T10:42:17Z,no_data,10.088,0.435903,0.0,10.850578623154217,43.71572944818878,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:17+00:00
215231L000660,2150002422,2023-11-22T10:42:17Z,no_data,11.206,0.047106,1.0,10.844643083671173,43.71997670341901,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:17+00:00
215231L000710,2150000412,2023-11-22T10:42:17Z,no_data,52.835,0.063226,1.0,11.067201349929938,43.70067792693193,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:17+00:00
215231L000741,2150000762,2023-11-22T10:42:17Z,no_data,12.062,0.071017,1.0,10.806497597942283,43.75536881648747,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:17+00:00
215231L000772,2150001312,2023-11-22T10:42:17Z,no_data,13.445,0.066076,1.0,10.979955538249072,43.73128532337195,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:17+00:00
215231L000794,2150001002,2023-11-22T10:42:18Z,no_data,16.31,0.057835,1.0,10.989283300602988,43.73662415868334,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:18+00:00
215231L000821,2150000402,2023-11-22T10:42:18Z,no_data,40.627,0.041374,1.0,10.903443091982826,43.767458938610034,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:18+00:00
215231L000857,2150002212,2023-11-22T10:42:18Z,no_data,21.418,0.018238,1.0,10.835101698999487,43.79322166045377,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:18+00:00
215231L000896,2150000742,2023-11-22T10:42:18Z,BONIFICA DEL PADULE DI FUCECCHIO,12.289,0.098453,1.0,10.812007095933154,43.81640160754081,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:18+00:00
215231L000913,2150002452,2023-11-22T10:42:19Z,PADULE DI FUCECCHIO;BONIFICA DEL PADULE DI FUCECCHIO,11.953,0.402849,1.0,10.78617465550516,43.83280723661251,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L000921,2150000982;2150000392;2150000382;2150000242,2023-11-22T10:42:19Z,no_data,29.397,1.847258,1.0,11.118784662324941,43.78575155162651,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L000923,2150002062,2023-11-22T10:42:18Z,GRANDE LAGO,12.018,0.01925,1.0,10.780784446167972,43.829841114963955,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:18+00:00
215231L000964,2150000152,2023-11-22T10:42:19Z,no_data,14.867,0.06681,1.0,10.811781336108382,43.839409380816235,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L000967,2150000232,2023-11-22T10:42:19Z,no_data,29.508,0.07979,1.0,11.125553602890498,43.784584031630274,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L001005,2150000222,2023-11-22T10:42:19Z,no_data,33.524,0.022106,1.0,11.097704885610149,43.79662818554025,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L001006,2150001292,2023-11-22T10:42:19Z,no_data,27.794,0.061738,1.0,11.142168553419584,43.789855009352806,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L001010,2150000372,2023-11-22T10:42:19Z,no_data,32.655,0.072731,1.0,11.084913636436145,43.7997556620888,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L001019,2150001282,2023-11-22T10:42:19Z,no_data,32.768,0.139241,1.0,11.0926229060737,43.80179275214458,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L001025,2150000212;2150000972,2023-11-22T10:42:19Z,no_data,32.76,0.132385,1.0,11.098139029436162,43.80159752315139,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L001038,2150000202,2023-11-22T10:42:19Z,LAGO DI CASTAGNATI,88.629,0.033324,1.0,11.015535276219955,43.81924330514504,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L001052,2150000162,2023-11-22T10:42:19Z,no_data,33.225,0.103816,1.0,11.073118192991743,43.81632052524405,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L001061,2150000072;2150000352,2023-11-22T10:42:19Z,no_data,33.316,0.14922,1.0,11.071315113191915,43.820709030038856,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L001073,2150000122,2023-11-22T10:42:19Z,no_data,33.994,0.04129,1.0,11.105944474846691,43.81719694764773,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L001076,2150000102,2023-11-22T10:42:19Z,no_data,82.461,0.042952,1.0,10.954584214720944,43.845811275138495,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L001082,2150000082,2023-11-22T10:42:19Z,no_data,33.819,0.191452,1.0,11.102844235674965,43.820500207942096,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L001116,2150000362,2023-11-22T10:42:19Z,no_data,33.408,0.05296,1.0,11.189058312880512,43.81322138489761,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L001119,2150001272,2023-11-22T10:42:19Z,LAGO DI PERETOLA,37.327,0.018811,1.0,11.198980196513997,43.81161813691227,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
