obs_id,lake_id,time_str,lake_name,wse,area_total,quality_f,lon,lat,source_file,product,time
215231L000857,2150002212,2023-11-22T10:42:18Z,no_data,21.418,0.018238,1.0,10.835101698999487,43.79322166045377,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:18+00:00
215231L001125,2150000112,2023-11-22T10:42:19Z,LAGO CALVANA,34.632,0.100456,1.0,11.162303957447,43.82125699887052,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L000921,2150000982;2150000392;2150000382;2150000242,2023-11-22T10:42:19Z,no_data,29.397,1.847258,1.0,11.118784662324941,43.78575155162651,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
215231L001025,2150000212;2150000972,2023-11-22T10:42:19Z,no_data,32.76,0.132385,1.0,11.098139029436162,43.80159752315139,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:19+00:00
214233R000145,2140006862;2140006542;2140006122;2140010112;2140006132;2140010092;2140006102,2023-11-22T10:42:30Z,no_data,-0.402,7.159766,0.0,12.325037208299353,44.25622270946832,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:30+00:00
214233R000308,2140008322;2140010012;2140010022,2023-11-22T10:42:31Z,no_data,-1.33,0.083235,0.0,12.326797422980384,44.267002763597375,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:31+00:00
214233R000720,2140008292,2023-11-22T10:42:32Z,no_data,-1.884,0.016022,1.0,12.302836636074733,44.337028958555706,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:32+00:00
214233R000927,2140006052;2140006492,2023-11-22T10:42:32Z,no_data,-1.373,0.332394,1.0,12.269378816988153,44.38449794234229,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:32+00:00
214233R000680,2140007052;2140006522,2023-11-22T10:42:32Z,no_data,-1.798,0.101759,0.0,12.309706207266437,44.33176251345272,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:32+00:00
214233R000866,2140008262,2023-11-22T10:42:32Z,no_data,-2.429,0.018272,1.0,12.255078075255893,44.373592054699856,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:32+00:00
214233L000586,2140009822,2023-11-22T10:42:33Z,no_data,19.134,0.014129,1.0,11.33512356106057,44.62354478496698,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:33+00:00
214233R001166,2140009562;2140009572,2023-11-22T10:42:33Z,no_data,-2.299,0.641725,0.0,12.278275486736696,44.42434422755715,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:33+00:00
214233L000603,2140008822,2023-11-22T10:42:34Z,no_data,9.528,0.022191,1.0,11.625960955155666,44.575529574586525,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:34+00:00
214233R001556,2140006402;2140009872;2140008832,2023-11-22T10:42:35Z,no_data,-1.024,0.390181,1.0,12.11658996099364,44.56285041648037,SWOT_L2_HR_LakeSP_Obs_006_557_EU_20231122T104158_20231122T105027_PIC0_01.zip,lake,2023-11-22 10:42:35+00:00
