master,slave,path,Bperp,delta_days
S1B_IW_SLC__1SDV_20180101T051000_20180101T051028_008973_010039_C877,S1B_IW_SLC__1SDV_20180101T051026_20180101T051053_008973_010039_3B4E,22,0,0
S1B_IW_SLC__1SDV_20180101T051000_20180101T051028_008973_010039_C877,S1B_IW_SLC__1SDV_20180113T051000_20180113T051028_009148_0105F4_7EED,22,175,11
S1B_IW_SLC__1SDV_20180101T051000_20180101T051028_008973_010039_C877,S1B_IW_SLC__1SDV_20180113T051026_20180113T051053_009148_0105F4_B0E4,22,175,12
S1B_IW_SLC__1SDV_20180101T051026_20180101T051053_008973_010039_3B4E,S1B_IW_SLC__1SDV_20180113T051000_20180113T051028_009148_0105F4_7EED,22,175,11
S1B_IW_SLC__1SDV_20180101T051026_20180101T051053_008973_010039_3B4E,S1B_IW_SLC__1SDV_20180113T051026_20180113T051053_009148_0105F4_B0E4,22,175,11
S1A_IW_SLC__1SDV_20180107T051036_20180107T051103_020044_02226F_1AE7,S1A_IW_SLC__1SDV_20180107T051101_20180107T051128_020044_02226F_BFB0,22,0,0
S1A_IW_SLC__1SDV_20180107T051036_20180107T051103_020044_02226F_1AE7,S1A_IW_SLC__1SDV_20180119T051036_20180119T051103_020219_0227FF_7D32,22,175,11
S1A_IW_SLC__1SDV_20180107T051036_20180107T051103_020044_02226F_1AE7,S1A_IW_SLC__1SDV_20180119T051101_20180119T051128_020219_0227FF_89AD,22,175,12
S1A_IW_SLC__1SDV_20180107T051101_20180107T051128_020044_02226F_BFB0,S1A_IW_SLC__1SDV_20180119T051036_20180119T051103_020219_0227FF_7D32,22,175,11
S1A_IW_SLC__1SDV_20180107T051101_20180107T051128_020044_02226F_BFB0,S1A_IW_SLC__1SDV_20180119T051101_20180119T051128_020219_0227FF_89AD,22,175,11
S1B_IW_SLC__1SDV_20180113T051000_20180113T051028_009148_0105F4_7EED,S1B_IW_SLC__1SDV_20180113T051026_20180113T051053_009148_0105F4_B0E4,22,0,0
S1B_IW_SLC__1SDV_20180113T051000_20180113T051028_009148_0105F4_7EED,S1B_IW_SLC__1SDV_20180125T050959_20180125T051027_009323_010BAB_4095,22,175,11
S1B_IW_SLC__1SDV_20180113T051000_20180113T051028_009148_0105F4_7EED,S1B_IW_SLC__1SDV_20180125T051025_20180125T051052_009323_010BAB_37AA,22,175,12
S1B_IW_SLC__1SDV_20180113T051026_20180113T051053_009148_0105F4_B0E4,S1B_IW_SLC__1SDV_20180125T050959_20180125T051027_009323_010BAB_4095,22,175,11
S1B_IW_SLC__1SDV_20180113T051026_20180113T051053_009148_0105F4_B0E4,S1B_IW_SLC__1SDV_20180125T051025_20180125T051052_009323_010BAB_37AA,22,175,11
S1A_IW_SLC__1SDV_20180119T051036_20180119T051103_020219_0227FF_7D32,S1A_IW_SLC__1SDV_20180119T051101_20180119T051128_020219_0227FF_89AD,22,0,0
S1A_IW_SLC__1SDV_20180119T051036_20180119T051103_020219_0227FF_7D32,S1A_IW_SLC__1SDV_20180131T051036_20180131T051103_020394_022D8F_F661,22,175,11
S1A_IW_SLC__1SDV_20180119T051036_20180119T051103_020219_0227FF_7D32,S1A_IW_SLC__1SDV_20180131T051100_20180131T051127_020394_022D8F_655D,22,175,12
S1A_IW_SLC__1SDV_20180119T051101_20180119T051128_020219_0227FF_89AD,S1A_IW_SLC__1SDV_20180131T051036_20180131T051103_020394_022D8F_F661,22,175,11
S1A_IW_SLC__1SDV_20180119T051101_20180119T051128_020219_0227FF_89AD,S1A_IW_SLC__1SDV_20180131T051100_20180131T051127_020394_022D8F_655D,22,175,11
S1B_IW_SLC__1SDV_20180125T050959_20180125T051027_009323_010BAB_4095,S1B_IW_SLC__1SDV_20180125T051025_20180125T051052_009323_010BAB_37AA,22,0,0
S1B_IW_SLC__1SDV_20180125T050959_20180125T051027_009323_010BAB_4095,S1B_IW_SLC__1SDV_20180206T050959_20180206T051027_009498_011168_B782,22,175,11
S1B_IW_SLC__1SDV_20180125T050959_20180125T051027_009323_010BAB_4095,S1B_IW_SLC__1SDV_20180206T051025_20180206T051052_009498_011168_5EE9,22,175,12
S1B_IW_SLC__1SDV_20180125T051025_20180125T051052_009323_010BAB_37AA,S1B_IW_SLC__1SDV_20180206T050959_20180206T051027_009498_011168_B782,22,175,11
S1B_IW_SLC__1SDV_20180125T051025_20180125T051052_009323_010BAB_37AA,S1B_IW_SLC__1SDV_20180206T051025_20180206T051052_009498_011168_5EE9,22,175,11
S1A_IW_SLC__1SDV_20180131T051036_20180131T051103_020394_022D8F_F661,S1A_IW_SLC__1SDV_20180131T051100_20180131T051127_020394_022D8F_655D,22,0,0
S1A_IW_SLC__1SDV_20180131T051036_20180131T051103_020394_022D8F_F661,S1A_IW_SLC__1SDV_20180212T051035_20180212T051102_020569_02332B_2877,22,175,11
S1A_IW_SLC__1SDV_20180131T051036_20180131T051103_020394_022D8F_F661,S1A_IW_SLC__1SDV_20180212T051100_20180212T051127_020569_02332B_C5C0,22,175,12
S1A_IW_SLC__1SDV_20180131T051100_20180131T051127_020394_022D8F_655D,S1A_IW_SLC__1SDV_20180212T051035_20180212T051102_020569_02332B_2877,22,175,11
S1A_IW_SLC__1SDV_20180131T051100_20180131T051127_020394_022D8F_655D,S1A_IW_SLC__1SDV_20180212T051100_20180212T051127_020569_02332B_C5C0,22,175,11
S1B_IW_SLC__1SDV_20180206T050959_20180206T051027_009498_011168_B782,S1B_IW_SLC__1SDV_20180206T051025_20180206T051052_009498_011168_5EE9,22,0,0
S1B_IW_SLC__1SDV_20180206T050959_20180206T051027_009498_011168_B782,S1B_IW_SLC__1SDV_20180218T050959_20180218T051027_009673_011724_A55C,22,175,11
S1B_IW_SLC__1SDV_20180206T050959_20180206T051027_009498_011168_B782,S1B_IW_SLC__1SDV_20180218T051025_20180218T051052_009673_011724_95BC,22,175,12
S1B_IW_SLC__1SDV_20180206T051025_20180206T051052_009498_011168_5EE9,S1B_IW_SLC__1SDV_20180218T050959_20180218T051027_009673_011724_A55C,22,175,11
