sceneName,startTime,stopTime,platform,beamModeType,polarization,pathNumber,frameNumber,flightDirection,url
S1A_IW_SLC__1SDV_20250415T113934_20250415T114001_058767_0747BF_F5A6,2025-04-15T11:39:34Z,2025-04-15T11:40:01Z,Sentinel-1A,IW,VV+VH,70,1252,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250415T113934_20250415T114001_058767_0747BF_F5A6.zip
S1A_IW_SLC__1SDV_20250408T114746_20250408T114813_058665_07438A_16C7,2025-04-08T11:47:46Z,2025-04-08T11:48:13Z,Sentinel-1A,IW,VV+VH,143,66,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250408T114746_20250408T114813_058665_07438A_16C7.zip
S1A_IW_SLC__1SDV_20250408T114722_20250408T114748_058665_07438A_9C91,2025-04-08T11:47:22Z,2025-04-08T11:47:48Z,Sentinel-1A,IW,VV+VH,143,61,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250408T114722_20250408T114748_058665_07438A_9C91.zip
S1A_IW_SLC__1SDV_20250405T233203_20250405T233230_058628_074211_B708,2025-04-05T23:32:03Z,2025-04-05T23:32:30Z,Sentinel-1A,IW,VV+VH,106,519,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250405T233203_20250405T233230_058628_074211_B708.zip
S1A_IW_SLC__1SDV_20250405T233137_20250405T233205_058628_074211_17EC,2025-04-05T23:31:37Z,2025-04-05T23:32:05Z,Sentinel-1A,IW,VV+VH,106,514,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250405T233137_20250405T233205_058628_074211_17EC.zip
S1A_IW_SLC__1SDV_20250403T113935_20250403T114002_058592_074094_0591,2025-04-03T11:39:35Z,2025-04-03T11:40:02Z,Sentinel-1A,IW,VV+VH,70,1252,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250403T113935_20250403T114002_058592_074094_0591.zip
S1A_IW_SLC__1SDV_20250327T114746_20250327T114813_058490_073C5E_FF9E,2025-03-27T11:47:46Z,2025-03-27T11:48:13Z,Sentinel-1A,IW,VV+VH,143,66,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250327T114746_20250327T114813_058490_073C5E_FF9E.zip
S1A_IW_SLC__1SDV_20250327T114721_20250327T114748_058490_073C5E_B388,2025-03-27T11:47:21Z,2025-03-27T11:47:48Z,Sentinel-1A,IW,VV+VH,143,61,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250327T114721_20250327T114748_058490_073C5E_B388.zip
S1A_IW_SLC__1SDV_20250324T233212_20250324T233239_058453_073AF4_1194,2025-03-24T23:32:12Z,2025-03-24T23:32:39Z,Sentinel-1A,IW,VV+VH,106,521,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250324T233212_20250324T233239_058453_073AF4_1194.zip
S1A_IW_SLC__1SDV_20250324T233147_20250324T233214_058453_073AF4_BD46,2025-03-24T23:31:47Z,2025-03-24T23:32:14Z,Sentinel-1A,IW,VV+VH,106,516,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250324T233147_20250324T233214_058453_073AF4_BD46.zip
S1A_IW_SLC__1SDV_20250322T113935_20250322T114002_058417_073988_9F68,2025-03-22T11:39:35Z,2025-03-22T11:40:02Z,Sentinel-1A,IW,VV+VH,70,1252,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250322T113935_20250322T114002_058417_073988_9F68.zip
S1A_IW_SLC__1SDV_20250315T114746_20250315T114813_058315_073579_B6C8,2025-03-15T11:47:46Z,2025-03-15T11:48:13Z,Sentinel-1A,IW,VV+VH,143,66,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250315T114746_20250315T114813_058315_073579_B6C8.zip
S1A_IW_SLC__1SDV_20250315T114721_20250315T114748_058315_073579_BEBC,2025-03-15T11:47:21Z,2025-03-15T11:47:48Z,Sentinel-1A,IW,VV+VH,143,61,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250315T114721_20250315T114748_058315_073579_BEBC.zip
S1A_IW_SLC__1SDV_20250310T113934_20250310T114001_058242_07329D_35D1,2025-03-10T11:39:34Z,2025-03-10T11:40:01Z,Sentinel-1A,IW,VV+VH,70,1252,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250310T113934_20250310T114001_058242_07329D_35D1.zip
