time,source_month,lwe_thickness_mean,lwe_thickness_mean_anom
2016-01-06,2016-01-01,-12.97846399530943,27.200131454776546
2016-01-30,2016-01-01,-12.97846399530943,27.200131454776546
2016-02-23,2016-02-01,-13.608066623815535,26.57052882627044
2016-03-18,2016-03-01,-15.211433507527317,24.967161942558654
2016-04-11,2016-04-01,-17.717475291271306,22.461120158814666
2016-05-05,2016-05-01,-20.142677017475165,20.035918432610814
2016-05-29,2016-05-01,-20.142677017475165,20.035918432610814
2016-07-16,2016-07-01,-16.930247970923265,23.248347479162714
2016-08-09,2016-08-01,-16.059925040779458,24.11867040930652
2016-09-02,2016-09-01,-19.838625056089146,20.33997039399683
2016-09-26,2016-09-01,-19.838625056089146,20.33997039399683
2016-10-20,2016-10-01,-23.49543152251788,16.683163927568096
2016-11-13,2016-11-01,-27.274131537827564,12.904463912258406
2016-12-07,2016-12-01,-27.644387836368736,12.534207613717236
2016-12-31,2016-12-01,-27.644387836368736,12.534207613717236
2017-01-24,2017-01-01,-26.014246773447695,14.164348676638276
2017-02-05,2017-02-01,-28.001605674727074,12.176989775358898
2017-02-17,2017-02-01,-28.001605674727074,12.176989775358898
2017-03-01,2017-03-01,-29.796639521043936,10.38195592904204
2017-03-13,2017-03-01,-29.796639521043936,10.38195592904204
2017-03-25,2017-03-01,-29.796639521043936,10.38195592904204
2017-04-06,2017-04-01,-32.64790714229597,7.530688307790001
2017-04-18,2017-04-01,-32.64790714229597,7.530688307790001
2017-04-30,2017-04-01,-32.64790714229597,7.530688307790001
2017-05-12,2017-05-01,-31.79406074435178,8.384534705734193
2017-05-24,2017-05-01,-31.79406074435178,8.384534705734193
2017-06-05,2017-06-01,-30.361931258275668,9.816664191810307
2017-06-29,2017-06-01,-30.361931258275668,9.816664191810307
2017-07-11,2017-07-01,-31.371984539768736,8.806610910317243
2017-07-23,2017-07-01,-31.371984539768736,8.806610910317243
2017-08-04,2017-08-01,-32.41570626397824,7.762889186107739
2017-08-16,2017-08-01,-32.41570626397824,7.762889186107739
2017-08-28,2017-08-01,-32.41570626397824,7.762889186107739
2017-09-09,2017-09-01,-33.459427988187734,6.719167461898237
2017-09-21,2017-09-01,-33.459427988187734,6.719167461898237
2017-10-03,2017-10-01,-34.4694812696808,5.709114180405168
2017-10-15,2017-10-01,-34.4694812696808,5.709114180405168
2017-10-27,2017-10-01,-34.4694812696808,5.709114180405168
2017-11-08,2017-11-01,-35.51320299389031,4.665392456195664
2017-11-20,2017-11-01,-35.51320299389031,4.665392456195664
2017-12-02,2017-12-01,-36.52325627538337,3.6553391747025996
2017-12-14,2017-12-01,-36.52325627538337,3.6553391747025996
2017-12-26,2017-12-01,-36.52325627538337,3.6553391747025996
2018-01-07,2018-01-01,-37.56697799959288,2.6116174504930965
2018-01-19,2018-01-01,-37.56697799959288,2.6116174504930965
2018-01-31,2018-01-01,-37.56697799959288,2.6116174504930965
2018-02-12,2018-02-01,-38.610699723802384,1.567895726283594
2018-02-24,2018-02-01,-38.610699723802384,1.567895726283594
2018-03-08,2018-03-01,-39.553416119862575,0.6251793302233964
2018-03-20,2018-03-01,-39.553416119862575,0.6251793302233964
2018-04-01,2018-04-01,-40.59713784407208,-0.4185423939861022
2018-04-13,2018-04-01,-40.59713784407208,-0.4185423939861022
2018-04-25,2018-04-01,-40.59713784407208,-0.4185423939861022
2018-05-07,2018-05-01,-41.60719112556514,-1.428595675479171
2018-05-19,2018-05-01,-41.60719112556514,-1.428595675479171
2018-05-31,2018-05-01,-41.60719112556514,-1.428595675479171
2018-06-12,2018-06-01,-42.65091284977465,-2.472317399688674
2018-06-24,2018-06-01,-42.65091284977465,-2.472317399688674
2018-07-18,2018-07-01,-41.29070535213773,-1.1121099020517482
2018-07-30,2018-07-01,-41.29070535213773,-1.1121099020517482
2018-08-11,2018-08-01,-40.408514229517316,-0.2299187794313396
2018-08-23,2018-08-01,-40.408514229517316,-0.2299187794313396
2018-09-04,2018-09-01,-39.5263231068969,0.6522723431890687
2018-09-16,2018-09-01,-39.5263231068969,0.6522723431890687
2018-09-28,2018-09-01,-39.5263231068969,0.6522723431890687
2018-10-10,2018-10-01,-38.672589762425545,1.5060056876604313
2018-10-22,2018-10-01,-38.672589762425545,1.5060056876604313
2018-11-03,2018-11-01,-39.4807527327022,0.6978427173837788
2018-11-15,2018-11-01,-39.4807527327022,0.6978427173837788
2018-11-27,2018-11-01,-39.4807527327022,0.6978427173837788
2018-12-09,2018-12-01,-41.991012917160745,-1.8124174670747761
2018-12-21,2018-12-01,-41.991012917160745,-1.8124174670747761
2019-01-02,2019-01-01,-42.63105549092707,-2.4524600408410926
2019-01-14,2019-01-01,-42.63105549092707,-2.4524600408410926
2019-01-26,2019-01-01,-42.63105549092707,-2.4524600408410926
2019-02-07,2019-02-01,-37.015164045164454,3.163431404921518
2019-02-19,2019-02-01,-37.015164045164454,3.163431404921518
2019-03-03,2019-03-01,-34.5124101380453,5.666185312040672
2019-03-15,2019-03-01,-34.5124101380453,5.666185312040672
2019-03-27,2019-03-01,-34.5124101380453,5.666185312040672
2019-04-08,2019-04-01,-35.99609551789982,4.1824999321861505
2019-04-20,2019-04-01,-35.99609551789982,4.1824999321861505
2019-05-02,2019-05-01,-36.71016633410133,3.4684291159846445
2019-05-14,2019-05-01,-36.71016633410133,3.4684291159846445
2019-05-26,2019-05-01,-36.71016633410133,3.4684291159846445
2019-06-07,2019-06-01,-39.545007324920675,0.6335881251653084
2019-06-19,2019-06-01,-39.545007324920675,0.6335881251653084
2019-07-01,2019-07-01,-39.752281533273795,0.4263139168121803
2019-07-13,2019-07-01,-39.752281533273795,0.4263139168121803
2019-07-25,2019-07-01,-39.752281533273795,0.4263139168121803
2019-08-06,2019-08-01,-34.46085563215216,5.717739817933817
2019-08-18,2019-08-01,-34.46085563215216,5.717739817933817
2019-08-30,2019-08-01,-34.46085563215216,5.717739817933817
2019-09-11,2019-09-01,-36.126734209074556,4.051861241011421
2019-09-23,2019-09-01,-36.126734209074556,4.051861241011421
2019-10-05,2019-10-01,-39.196058693420284,0.9825367566656844
2019-10-17,2019-10-01,-39.196058693420284,0.9825367566656844
2019-10-29,2019-10-01,-39.196058693420284,0.9825367566656844
2019-11-10,2019-11-01,-40.65490945323944,-0.47631400315345723
2019-11-22,2019-11-01,-40.65490945323944,-0.47631400315345723
2019-12-04,2019-12-01,-38.23302355951603,1.9455718905699508
