noise_scale,epoch,train_loss,val_loss,lr
0.01,1,6.215704547825144,6.284754889351981,6.892666352810564e-05
0.01,2,5.083533671364855,6.210887636457171,6.577980021920982e-05
0.01,3,5.018321236567711,6.189852271761213,6.077386360737624e-05
0.01,4,4.932621813532132,6.224645784923008,5.425e-05
0.01,5,4.852707791684279,6.217649255480085,4.66527999207294e-05
0.01,6,4.7627921816128405,6.357584408351353,3.8499999999999994e-05
0.01,7,4.6938918170644275,6.154383523123605,3.0347200079270595e-05
0.01,8,4.649846568036435,6.244316782270159,2.2750000000000004e-05
0.01,9,4.57512251298819,6.272258792604719,1.6226136392623754e-05
0.01,10,4.533391845760061,6.231988838740757,1.122019978079018e-05
0.01,11,4.496525522488267,6.308594499315534,8.073336471894352e-06
0.01,12,4.467506647109985,6.292176280702863,7e-06
0.02,1,5.110030046149866,5.967732020786831,6.892666352810564e-05
0.02,2,4.955384809579423,6.011968919209072,6.577980021920982e-05
0.02,3,4.90205226727386,5.974724497113909,6.077386360737624e-05
0.02,4,4.809126469626356,5.943692411695208,5.425e-05
0.02,5,4.783996987698683,5.908154623849051,4.66527999207294e-05
0.02,6,4.674229650355097,5.783821037837437,3.8499999999999994e-05
0.02,7,4.595366036714013,6.001007693154471,3.0347200079270595e-05
0.02,8,4.507551641606573,5.863975661141532,2.2750000000000004e-05
0.02,9,4.432318082496302,5.951995066234043,1.6226136392623754e-05
0.02,10,4.394119814260682,5.854377235685076,1.122019978079018e-05
0.02,11,4.335689594496542,5.885849067143032,8.073336471894352e-06
0.02,12,4.303532002577141,5.902979237692697,7e-06
0.05,1,4.984345165651236,6.0925048760005405,5.9079997309804844e-05
0.05,2,4.785397426405949,6.020043781825474,5.638268590217985e-05
0.05,3,4.696696889934255,6.007885694503784,5.209188309203678e-05
0.05,4,4.637845074952538,6.165274926594326,4.6500000000000005e-05
0.05,5,4.5322554431744475,6.069463048662458,3.998811421776807e-05
0.05,6,4.486912435560084,6.132963827678135,3.3e-05
0.05,7,4.402340888977051,6.098230021340506,2.6011885782231945e-05
0.05,8,4.31772878276768,6.132727316447666,1.9500000000000006e-05
0.05,9,4.257822150614724,6.157915421894619,1.3908116907963219e-05
0.05,10,4.186976575139743,6.113664252417428,9.617314097820156e-06
