noise_scale,epoch,train_loss,val_loss,clean_anchor_windows,lr
0.0,1,5.945210894541954,5.442760024751935,0,9.931634888554937e-05
0.0,2,3.950587521738081,3.7314209597451344,0,9.728616793536588e-05
0.0,3,3.1299110348544903,3.418813501085554,0,9.397114317029975e-05
0.0,4,2.8152382516149266,3.0689165592193604,0,8.9471999940354e-05
0.0,5,2.566979029285374,2.7736260890960693,0,8.392544243589426e-05
0.0,6,2.4201089784280576,2.6004041944231306,0,7.749999999999999e-05
0.0,7,2.2250038670070134,2.475097179412842,0,7.039090644965509e-05
0.0,8,1.93595249795202,2.178690416472299,0,6.281416799501186e-05
0.0,9,1.7938242385636514,2.213902916227068,0,5.499999999999999e-05
0.0,10,1.6462295642539637,1.9604006665093558,0,4.718583200498813e-05
0.0,11,1.5340749274438887,1.9925151552472795,0,3.960909355034492e-05
0.0,12,1.5087600110182122,1.8164936133793421,0,3.250000000000001e-05
0.0,13,1.413470689930133,1.7620887926646642,0,2.6074557564105733e-05
0.0,14,1.3767458075907693,1.7494829893112183,0,2.0528000059645997e-05
0.0,15,1.332389808412808,1.7418203524180822,0,1.602885682970027e-05
0.0,16,1.2735367168241472,1.7188456909997123,0,1.2713832064634127e-05
0.0,17,1.2449220258798173,1.6932628495352608,0,1.068365111445064e-05
0.0,18,1.2242446319380802,1.7054757050105505,0,1e-05
0.01,1,5.165513153535774,6.084690843309675,16,9.846666218300807e-05
0.01,2,4.7236450838755415,6.042244127818516,16,9.397114317029975e-05
0.01,3,4.526435656719897,6.04197233063834,16,8.681980515339464e-05
0.01,4,4.376597206276584,6.130343879972186,16,7.75e-05
0.01,5,4.21820774710322,6.110039302280971,16,6.664685702961344e-05
0.01,6,4.128510676234601,6.083367960793631,16,5.5e-05
0.01,7,4.007077016026141,6.123668909072876,16,4.335314297038657e-05
0.01,8,3.905647053776017,6.116097041538784,16,3.250000000000001e-05
0.01,9,3.803511294973902,6.134314571108137,16,2.3180194846605367e-05
0.01,10,3.7146747873490114,6.156860249383109,16,1.602885682970026e-05
0.02,1,4.59797347597329,6.305062430245536,16,9.846666218300807e-05
0.02,2,4.38338141843497,6.560339178357806,16,9.397114317029975e-05
0.02,3,4.163145387029073,6.673488412584577,16,8.681980515339464e-05
0.02,4,3.9641995918319886,6.984555244445801,16,7.75e-05
0.02,5,3.793452912066356,7.078437123979841,16,6.664685702961344e-05
0.02,6,3.642888074897858,7.4332922867366245,16,5.5e-05
0.02,7,3.505493359393384,7.25940922328404,16,4.335314297038657e-05
0.02,8,3.3915924020560393,6.999874898365566,16,3.250000000000001e-05
0.05,1,4.553636240671916,6.067938804626465,16,9.846666218300807e-05
0.05,2,4.404131593474423,5.944622755050659,16,9.397114317029975e-05
0.05,3,4.261826954692243,5.849553721291678,16,8.681980515339464e-05
0.05,4,4.1239327637546035,5.885009629385812,16,7.75e-05
0.05,5,4.01351802894868,5.818321091788156,16,6.664685702961344e-05
0.05,6,3.887624212058194,5.88282230922154,16,5.5e-05
0.05,7,3.794306444834514,5.81954060282026,16,4.335314297038657e-05
0.05,8,3.6881848358246216,5.857491561344692,16,3.250000000000001e-05
0.05,9,3.5862086767173675,5.949624742780413,16,2.3180194846605367e-05
0.05,10,3.51979147957032,5.95950756754194,16,1.602885682970026e-05
0.05,11,3.451901950031878,5.911929164613996,16,1.1533337816991932e-05
0.05,12,3.4130308771707925,5.883171626499721,16,1e-05
