noise_scale,epoch,train_loss,val_loss,lr,noise_condition_value,training_mode
0.0,1,5.944687807737892,5.4422517504010886,9.961501876182148e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,2,3.9492296318509688,3.7295433453151157,9.846666218300808e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,3,3.127240348218092,3.4137938363211497,9.657457896300791e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,4,2.809792952751046,3.0533013343811035,9.397114317029975e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,5,2.5544459784208837,2.732977730887277,9.070090031310558e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,6,2.366785492470015,2.5473436628069197,8.681980515339464e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,7,2.179087535658879,2.4038652181625366,8.239426430539243e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,8,1.9155880888896202,2.1540352446692332,7.75e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,9,1.7586562277665778,2.083009260041373,7.222075445642904e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,10,1.5894234820977966,1.9545949867793493,6.664685702961343e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,11,1.4674066145028641,1.933379054069519,6.0873678649902325e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,12,1.414438261914609,1.824032187461853,5.4999999999999995e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,13,1.318685698865065,1.6668545348303658,4.912632135009767e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,14,1.2458932399749756,1.6467518636158534,4.3353142970386564e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,15,1.189675420077879,1.59349981376103,3.777924554357097e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,16,1.1411208857351274,1.6246216637747628,3.250000000000001e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,17,1.092661866501196,1.5427109513963972,2.7605735694607574e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,18,1.065949518289139,1.518805946622576,2.3180194846605367e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,19,1.051400963050216,1.5346582617078508,1.9299099686894426e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,20,1.0213353117900108,1.4837875195911951,1.602885682970026e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,21,1.0109669059070188,1.4700582027435303,1.3425421036992097e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,22,0.9840328995861224,1.528478401047843,1.153333781699193e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,23,0.974673324556493,1.4688678468976701,1.0384981238178534e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.0,24,0.9584459137560716,1.456678867340088,1e-05,0.0,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.01,1,6.372352514693986,6.308730227606637,9.846666218300807e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.01,2,5.184684354867509,6.410392011914935,9.397114317029975e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.01,3,5.019161957413403,6.344032117298672,8.681980515339464e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.01,4,4.8703790138016885,6.476125512804304,7.75e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.01,5,4.711003577531273,6.6888336454119,6.664685702961344e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.01,6,4.541033481484029,6.494438239506313,5.5e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.01,7,4.42021369934082,6.584625312260219,4.335314297038657e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.01,8,4.24371337890625,6.72660756111145,3.250000000000001e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.01,9,4.19046702313779,6.681087051119123,2.3180194846605367e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.02,1,5.135430229243948,7.148195402962821,8.898458044336385e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.02,2,4.850906386304257,7.305378096444266,8.598923915004797e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.02,3,4.596537219944285,7.438477175576346,8.116417503995521e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.02,4,4.445440007679498,7.27427077293396,7.475133697527871e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.02,5,4.278474430539715,7.806253739765713,6.707229143426111e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.02,6,4.100578151532074,7.688869033540998,5.8512097825230736e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.02,7,3.961458939224926,7.646536111831665,4.9500000000000004e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.02,8,3.7970111405671534,8.19682662827628,4.048790217476927e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.02,9,3.7707648028188676,7.967960902622768,3.19277085657389e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.05,1,5.4337182685510435,6.711819750922067,6.952144421988455e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.05,2,5.306001869600211,6.6721499647412985,6.81003175547561e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.05,3,5.170185854185873,6.577258314405169,6.577980021920982e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.05,4,5.063196637737217,6.614834717341831,6.26303999582478e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.05,5,4.868760592901885,6.603294304438999,5.874780970512598e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.05,6,4.776519170447962,6.58791674886431,5.424999999999999e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.05,7,4.666780471801758,6.493767976760864,4.927363451475856e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.05,8,4.5391617105967965,6.6630778312683105,4.39699175965083e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.05,9,4.390726288752769,6.961540188108172,3.8499999999999994e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.05,10,4.312213157539937,6.886179140635899,3.303008240349169e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.05,11,4.1759676079251875,6.565932035446167,2.7726365485241442e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.05,12,4.0981669852982705,6.4960062844412665,2.2750000000000004e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.05,13,3.993996193159872,6.750026362282889,1.8252190294874006e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.05,14,3.9242817145674977,6.488775934491839,1.4369600041752194e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.05,15,3.8797911957128726,6.597536700112479,1.1220199780790185e-05,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
0.05,16,3.8189652713377082,6.641629355294364,8.899682445243886e-06,,hybrid_stage_adaptive_conditioned_dual_decoder_balanced
