noise_scale,epoch,train_loss,val_loss,lr,noise_condition_value,training_mode
0.0,1,5.944687807737892,5.4422517504010886,9.961501876182148e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,2,3.9492296318509688,3.7295433453151157,9.846666218300808e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,3,3.127240348218092,3.4137938363211497,9.657457896300791e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,4,2.809792952751046,3.0533013343811035,9.397114317029975e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,5,2.5544459784208837,2.732977730887277,9.070090031310558e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,6,2.366785492470015,2.5473436628069197,8.681980515339464e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,7,2.179087535658879,2.4038652181625366,8.239426430539243e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,8,1.9155880888896202,2.1540352446692332,7.75e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,9,1.7586562277665778,2.083009260041373,7.222075445642904e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,10,1.5894234820977966,1.9545949867793493,6.664685702961343e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,11,1.4674066145028641,1.933379054069519,6.0873678649902325e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,12,1.414438261914609,1.824032187461853,5.4999999999999995e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,13,1.318685698865065,1.6668545348303658,4.912632135009767e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,14,1.2458932399749756,1.6467518636158534,4.3353142970386564e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,15,1.189675420077879,1.59349981376103,3.777924554357097e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,16,1.1411208857351274,1.6246216637747628,3.250000000000001e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,17,1.092661866501196,1.5427109513963972,2.7605735694607574e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,18,1.065949518289139,1.518805946622576,2.3180194846605367e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
0.0,19,1.051400963050216,1.5346582617078508,1.9299099686894426e-05,0.0,hybrid_clean_then_original_conditioned_dual_decoder_balanced
