noise_scale,epoch,train_loss,val_loss,lr,freeze_shared
0.0,1,5.799567197685811,5.227072102682931,9.939231012048833e-05,0
0.0,2,3.769813199541462,3.5491458688463484,9.758770483143634e-05,0
0.0,3,2.96073830661489,3.4424843447549,9.464101615137755e-05,0
0.0,4,2.7876395467501967,2.869371158736093,9.064177772475911e-05,0
0.0,5,2.564393022167149,2.8108716692243303,8.571150438746156e-05,0
0.0,6,2.4211955390759368,2.6492697851998463,7.999999999999999e-05,0
0.0,7,2.1538409475070326,2.3442489079066684,7.368080573302675e-05,0
0.0,8,1.894787715442145,2.1688331024987355,6.694592710667723e-05,0
0.0,9,1.7028543415354258,2.0407057659966603,6.000000000000001e-05,0
0.0,10,1.6238131496443677,1.9253381320408411,5.3054072893322804e-05,0
0.0,11,1.4906188552059345,2.0372111797332764,4.631919426697328e-05,0
0.0,12,1.3874295985520775,1.8556846209934779,4.0000000000000024e-05,0
0.0,13,1.337458220880423,1.8519509860447474,3.428849561253844e-05,0
0.0,14,1.2829592690539005,1.7885747637067522,2.9358222275240893e-05,0
0.0,15,1.2274009362975162,1.7731927462986536,2.5358983848622468e-05,0
0.0,16,1.2037834320495377,1.7068957090377808,2.241229516856367e-05,0
0.0,17,1.1642567666608896,1.6819497006280082,2.0607689879511683e-05,0
0.0,18,1.1312722252376044,1.7094050816127233,2e-05,0
0.01,1,7.385778484059803,6.661620991570609,4.9318516525781366e-05,1
0.01,2,5.274892927995369,6.10413874898638,4.732050807568878e-05,1
0.01,3,5.1144579132991055,6.042684520993914,4.4142135623730954e-05,1
0.01,4,5.057026201219701,6.063598394393921,4.000000000000001e-05,1
0.01,5,5.024144250955155,5.997611965451922,3.5176380902050423e-05,0
0.01,6,4.952752497658801,5.959267786570957,3.000000000000001e-05,0
0.01,7,4.88912982371316,5.947366884776524,2.48236190979496e-05,0
0.01,8,4.837779749685259,5.929683651242938,2.0000000000000012e-05,0
0.01,9,4.790023102689145,5.917210340499878,1.5857864376269055e-05,0
0.01,10,4.733982854814672,5.897214923586164,1.2679491924311227e-05,0
0.01,11,4.704979857402061,5.896399089268276,1.0681483474218637e-05,0
0.01,12,4.678033188207825,5.891005652291434,1e-05,0
0.02,1,5.014341973546726,6.120028393609183,4.9318516525781366e-05,1
0.02,2,4.944489607170446,6.127043655940464,4.732050807568878e-05,1
0.02,3,4.915115833282471,6.130016769681658,4.4142135623730954e-05,1
0.02,4,4.885688055807085,6.124258211680821,4.000000000000001e-05,1
0.02,5,4.869578774295636,6.1633277961186,3.5176380902050423e-05,0
0.02,6,4.743661496176649,6.164750678198678,3.000000000000001e-05,0
0.02,7,4.63900758259332,6.199760334832328,2.48236190979496e-05,0
0.02,8,4.571521794618065,6.174450397491455,2.0000000000000012e-05,0
0.05,1,4.978949970273829,6.008723395211356,3.9454813220625096e-05,1
0.05,2,4.9365291168440635,6.012097120285034,3.785640646055102e-05,1
0.05,3,4.9061495368160415,6.012983764920916,3.531370849898476e-05,1
0.05,4,4.89706062203023,6.002771479742868,3.2000000000000005e-05,1
0.05,5,4.887818429007459,5.990467548370361,2.8141104721640336e-05,0
0.05,6,4.828594143710919,5.974401814596994,2.4000000000000004e-05,0
0.05,7,4.782382303209447,5.979232038770403,1.9858895278359672e-05,0
0.05,8,4.751209856858894,5.9655568940298895,1.6000000000000006e-05,0
0.05,9,4.724401694625171,5.97851698739188,1.2686291501015243e-05,0
0.05,10,4.705238712367727,5.980902944292341,1.0143593539448982e-05,0
0.05,11,4.678429212143172,5.983893837247576,8.54518677937491e-06,0
0.05,12,4.663310620322156,5.983692441667829,8.000000000000001e-06,0
