case,noise_scale,layer,rmse,mae,bias,r2,corr,fit_slope,fit_intercept,forward_residual_rmse,alpha_bal,beta_bal,training_mode,best_val_loss,num_train_windows,num_test_windows,epochs_completed,warm_start_from
balanced_noise_0p00,0.0,S0,5.387272357940674,3.831160068511963,-0.27007991075515747,0.4526805281639099,0.6761600105324541,0.4193253952886612,-0.2701310497824611,2.369802587054437e-06,271.7481034351939,0.0036798784880516327,independent_balanced,1.308071298258645,67,16,16,
balanced_noise_0p00,0.0,Sg,4.7943549156188965,3.6685373783111572,0.06561052054166794,0.6193643808364868,0.8120000913624846,0.4971299240867065,0.06577409597560137,2.369802587054437e-06,271.7481034351939,0.0036798784880516327,independent_balanced,1.308071298258645,67,16,16,
balanced_noise_0p01,0.01,S0,7.961282253265381,5.721303939819336,0.106467604637146,-0.19527840614318848,-0.054083616003835044,-0.021140033635161933,0.10637763599982948,0.000582493026740849,271.7481034351939,0.0036798784880516327,independent_balanced,2.6988148348672047,67,16,16,
balanced_noise_0p01,0.01,Sg,8.485407829284668,6.03225040435791,0.04730362445116043,-0.19232475757598877,-0.2707963075710868,-0.06623283382089325,0.04765042439663132,0.000582493026740849,271.7481034351939,0.0036798784880516327,independent_balanced,2.6988148348672047,67,16,16,
balanced_noise_0p02,0.02,S0,7.904871463775635,5.706980228424072,-1.6082288026809692,-0.17839980125427246,-0.07144646644901245,-0.021120182760233298,-1.608318763447212,0.0011656818678602576,271.7481034351939,0.0036798784880516327,independent_balanced,2.697909482887813,67,16,16,
balanced_noise_0p02,0.02,Sg,8.517715454101562,5.975189685821533,1.2046492099761963,-0.20142138004302979,-0.27437761793024606,-0.06263734746239624,1.2049949480544837,0.0011656818678602576,271.7481034351939,0.0036798784880516327,independent_balanced,2.697909482887813,67,16,16,
balanced_noise_0p05,0.05,S0,7.963257789611816,5.705289363861084,-0.8108985424041748,-0.19587159156799316,-0.031428696301288035,-0.012510453629545538,-0.8109876896554918,0.0029120189137756824,271.7481034351939,0.0036798784880516327,independent_balanced,2.6938508493559703,67,16,16,
balanced_noise_0p05,0.05,Sg,8.333471298217773,5.887045860290527,0.6609096527099609,-0.15000832080841064,-0.30224936243412637,-0.054894587318516895,0.6612528831833769,0.0029120189137756824,271.7481034351939,0.0036798784880516327,independent_balanced,2.6938508493559703,67,16,16,
balanced_noise_0p00,0.0,S0,5.311258316040039,3.8546175956726074,-0.08037988841533661,0.4680168032646179,0.6918176433089221,0.4078126134605128,-0.08043205894366555,2.326542698938283e-06,271.7481034351939,0.0036798784880516327,curriculum_balanced,1.2621813544205256,67,16,18,scratch
balanced_noise_0p00,0.0,Sg,4.593025207519531,3.513500690460205,-0.13834476470947266,0.6506612300872803,0.8266274456986455,0.5346698491706481,-0.13819336477209448,2.326542698938283e-06,271.7481034351939,0.0036798784880516327,curriculum_balanced,1.2621813544205256,67,16,18,scratch
balanced_noise_0p01,0.01,S0,8.040034294128418,5.788408279418945,0.1114138513803482,-0.21904265880584717,-0.06779169082322113,-0.027446491548903332,0.11132336729433528,0.0005815167678520083,271.7481034351939,0.0036798784880516327,curriculum_balanced,2.6465568968227933,67,16,12,balanced_noise_0p00
balanced_noise_0p01,0.01,Sg,8.30382251739502,5.976567268371582,-0.1346876472234726,-0.14183998107910156,-0.18644504133203543,-0.04352326158541817,-0.13434817774490734,0.0005815167678520083,271.7481034351939,0.0036798784880516327,curriculum_balanced,2.6465568968227933,67,16,12,balanced_noise_0p00
balanced_noise_0p02,0.02,S0,7.832935333251953,5.624107360839844,0.04156678169965744,-0.1570500135421753,-0.014121505919971324,-0.005399843527946519,0.04147822596929659,0.0011648604413494468,271.7481034351939,0.0036798784880516327,curriculum_balanced,2.6733072314943587,67,16,8,balanced_noise_0p01
balanced_noise_0p02,0.02,Sg,8.408185958862305,5.955462455749512,0.08479239046573639,-0.17072176933288574,-0.21448684749622776,-0.05381992155609918,0.08513520486140566,0.0011648604413494468,271.7481034351939,0.0036798784880516327,curriculum_balanced,2.6733072314943587,67,16,8,balanced_noise_0p01
balanced_noise_0p05,0.05,S0,8.269044876098633,5.988528728485107,0.21574997901916504,-0.2894773483276367,-0.14076353480449202,-0.058358679135519655,0.21565679836982904,0.002911563962697983,271.7481034351939,0.0036798784880516327,curriculum_balanced,2.655089633805411,67,16,12,balanced_noise_0p02
balanced_noise_0p05,0.05,Sg,8.488525390625,5.941911697387695,-0.0737341120839119,-0.19320106506347656,-0.03376504337039205,-0.013741502143354503,-0.07340436682334957,0.002911563962697983,271.7481034351939,0.0036798784880516327,curriculum_balanced,2.655089633805411,67,16,12,balanced_noise_0p02
