case,noise_scale,layer,rmse,mae,bias,r2,corr,fit_slope,fit_intercept,forward_residual_rmse,best_val_loss,num_train_windows,num_test_windows,alpha,beta,alpha_beta_ratio
ratio_0p25,0.0,S0,1.8624995946884155,1.3787591457366943,0.11706814169883728,-0.046683549880981445,-0.19712825910752857,-0.01738523068894308,0.11704572879263905,0.0006372109055519104,1.1554064559085029,67,16,0.25,1.0,0.25
ratio_0p25,0.0,Sg,3.4408576488494873,2.332700252532959,0.017317159101366997,0.8039429187774658,0.9118177342659946,0.6803035931473153,0.01742116293223261,0.0006372109055519104,1.1554064559085029,67,16,0.25,1.0,0.25
ratio_0p50,0.0,S0,3.7257301807403564,2.7600507736206055,-0.124940887093544,-0.04709434509277344,-0.21825061322552985,-0.01912074934544288,-0.12498577232998986,0.000553788268007338,1.0923703100000108,67,16,0.5,1.0,0.5
ratio_0p50,0.0,Sg,3.0208089351654053,2.1236419677734375,0.0026976335793733597,0.848889172077179,0.9307929796032217,0.7432914867331261,0.0027811340001360732,0.000553788268007338,1.0923703100000108,67,16,0.5,1.0,0.5
ratio_1p00,0.0,S0,7.466922283172607,5.53494930267334,-0.5257092118263245,-0.051444411277770996,-0.18877165378395402,-0.018377473049964756,-0.5257988532175226,0.0005513452924787998,1.1482902339526586,67,16,1.0,1.0,1.0
ratio_1p00,0.0,Sg,3.0594704151153564,2.2208776473999023,-0.01678329147398472,0.844996452331543,0.9216775668265037,0.7877412798353832,-0.016714240406490038,0.0005513452924787998,1.1482902339526586,67,16,1.0,1.0,1.0
ratio_2p00,0.0,S0,15.261706352233887,11.205107688903809,1.1158431768417358,-0.09811854362487793,-0.07950978002370426,-0.018640992601918604,1.1156637670655698,0.0006294929189607501,1.3348348140716553,67,16,2.0,1.0,2.0
ratio_2p00,0.0,Sg,3.3753156661987305,2.4856433868408203,-0.011821703054010868,0.811340868473053,0.9034143908665049,0.7534735006297614,-0.011741498800319272,0.0006294929189607501,1.3348348140716553,67,16,2.0,1.0,2.0
ratio_4p00,0.0,S0,31.005329132080078,22.575843811035156,-2.1011300086975098,-0.13306736946105957,-0.04385878378486567,-0.013876994081168813,-2.101487243279929,0.0006873015663586557,1.5771214621407645,67,16,4.0,1.0,4.0
ratio_4p00,0.0,Sg,3.642913579940796,2.550784111022949,0.0077255647629499435,0.7802409529685974,0.8919214005305732,0.685264659301884,0.007827958225074353,0.0006873015663586557,1.5771214621407645,67,16,4.0,1.0,4.0
