"Granule Name",Platform,Sensor,"Beam Mode","Beam Mode Description",Orbit,"Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?",URL,"Size (MB)","Off Nadir Angle","Stack Size",Doppler,GroupID,"Pointing Angle",relativeBurstID,absoluteBurstID,fullBurstID,burstIndex,azimuthTime,azimuthAnxTime,samplesPerBurst,subswath
S1B_IW_SLC__1SDV_20211222T171438_20211222T171505_030141_039960_FB32,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",30141,15,146,2021-12-22T17:15:05.652059Z,2021-12-22T17:14:38.572160Z,SLC,2021-12-22T17:14:38.572160Z,2021-12-22T17:15:05.652059Z,46.0512,9.3796,45.02771,7.962638,45.42778,11.217922,46.6502,7.50135,47.050854,10.856423,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211222T171438_20211222T171505_030141_039960_FB32.zip,4288.03345394135,,,0,S1B_IWDV_0146_0152_030141_015,,,,,,,,,
S1B_IW_SLC__1SDV_20211222T171413_20211222T171440_030141_039960_C487,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",30141,15,142,2021-12-22T17:14:40.829161Z,2021-12-22T17:14:13.747206Z,SLC,2021-12-22T17:14:13.747206Z,2021-12-22T17:14:40.829161Z,44.5592,9.7251,43.534439,8.337906,43.937019,11.523187,45.158195,7.889882,45.560963,11.168065,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211222T171413_20211222T171440_030141_039960_C487.zip,4178.5731306076,,,0,S1B_IWDV_0141_0147_030141_015,,,,,,,,,
S1B_IW_SLC__1SDV_20211222T171348_20211222T171416_030141_039960_F792,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",30141,15,137,2021-12-22T17:14:16.004208Z,2021-12-22T17:13:48.922253Z,SLC,2021-12-22T17:13:48.922253Z,2021-12-22T17:14:16.004208Z,43.07,10.092,42.045452,8.739862,42.447971,11.844866,43.670334,8.304878,44.072624,11.496008,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211222T171348_20211222T171416_030141_039960_F792.zip,3896.17863559723,,,0,S1B_IWDV_0136_0142_030141_015,,,,,,,,,
S1A_IW_SLC__1SDV_20211218T165855_20211218T165922_041066_04E0EF_E763,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",41066,44,147,2021-12-18T16:59:22.641619Z,2021-12-18T16:58:55.666554Z,SLC,2021-12-18T16:58:55.666554Z,2021-12-18T16:59:22.641619Z,46.1773,13.4576,45.157066,12.037838,45.556923,15.298192,46.773167,11.576994,47.173649,14.937334,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211218T165855_20211218T165922_041066_04E0EF_E763.zip,4302.73248672485,,,0,S1A_IWDV_0146_0153_041066_044,,,,,,,,,
S1A_IW_SLC__1SDV_20211218T165830_20211218T165857_041066_04E0EF_8484,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",41066,44,142,2021-12-18T16:58:57.816665Z,2021-12-18T16:58:30.845711Z,SLC,2021-12-18T16:58:30.845711Z,2021-12-18T16:58:57.816665Z,44.6884,13.8276,43.668289,12.443719,44.068333,15.620979,45.285316,11.997208,45.685543,15.267139,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211218T165830_20211218T165857_041066_04E0EF_8484.zip,3864.05532360077,,,0,S1A_IWDV_0141_0148_041066_044,,,,,,,,,
S1A_IW_SLC__1SDV_20211218T165806_20211218T165832_041066_04E0EF_A432,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",41066,44,137,2021-12-18T16:58:32.997878Z,2021-12-18T16:58:06.020758Z,SLC,2021-12-18T16:58:06.020758Z,2021-12-18T16:58:32.997878Z,43.1979,14.1823,42.177155,12.83042,42.578342,15.933883,43.795658,12.396409,44.19664,15.585989,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211218T165806_20211218T165832_041066_04E0EF_A432.zip,3724.10178756714,,,0,S1A_IWDV_0136_0143_041066_044,,,,,,,,,
S1B_IW_SLC__1SDV_20211217T170642_20211217T170710_030068_039713_748B,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",30068,117,150,2021-12-17T17:07:10.036756Z,2021-12-17T17:06:42.952746Z,SLC,2021-12-17T17:06:42.952746Z,2021-12-17T17:07:10.036756Z,47.102,11.1654,46.078011,9.720497,46.478542,13.040407,47.699871,9.248,48.101334,12.67336,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211217T170642_20211217T170710_030068_039713_748B.zip,4257.17813682556,,,0,S1B_IWDV_0150_0155_030068_117,,,,,,,,,
S1B_IW_SLC__1SDV_20211217T170618_20211217T170645_030068_039713_FD7A,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",30068,117,145,2021-12-17T17:06:45.211802Z,2021-12-17T17:06:18.136015Z,SLC,2021-12-17T17:06:18.136015Z,2021-12-17T17:06:45.211802Z,45.6108,11.5178,44.58604,10.104639,44.988777,13.349854,46.208599,9.646688,46.611835,12.989939,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211217T170618_20211217T170645_030068_039713_FD7A.zip,4204.84969520569,,,0,S1B_IWDV_0145_0150_030068_117,,,,,,,,,
S1B_IW_SLC__1SDV_20211217T170553_20211217T170620_030068_039713_9265,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",30068,117,140,2021-12-17T17:06:20.388905Z,2021-12-17T17:05:53.311062Z,SLC,2021-12-17T17:05:53.311062Z,2021-12-17T17:06:20.388905Z,44.1219,11.8881,43.097202,10.510824,43.499935,13.673245,44.72105,10.066778,45.123844,13.320077,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211217T170553_20211217T170620_030068_039713_9265.zip,3989.0380115509,,,0,S1B_IWDV_0140_0145_030068_117,,,,,,,,,
S1A_IW_SLC__1SDV_20211216T171533_20211216T171600_041037_04DFFA_2593,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",41037,15,149,2021-12-16T17:16:00.966666Z,2021-12-16T17:15:33.995712Z,SLC,2021-12-16T17:15:33.995712Z,2021-12-16T17:16:00.966666Z,46.8261,9.1971,45.807796,7.7724,46.204304,11.047073,47.423161,7.30585,47.820457,10.683123,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211216T171533_20211216T171600_041037_04DFFA_2593.zip,4261.05333805084,,,0,S1A_IWDV_0149_0154_041037_015,,,,,,,,,
S1A_IW_SLC__1SDV_20211216T171509_20211216T171536_041037_04DFFA_D3B4,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",41037,15,144,2021-12-16T17:15:36.145824Z,2021-12-16T17:15:09.172814Z,SLC,2021-12-16T17:15:09.172814Z,2021-12-16T17:15:36.145824Z,45.3341,9.5421,44.314354,8.147124,44.713638,11.351705,45.931,7.694324,46.330673,10.994434,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211216T171509_20211216T171536_041037_04DFFA_D3B4.zip,4341.43326854706,,,0,S1A_IWDV_0144_0150_041037_015,,,,,,,,,
S1A_IW_SLC__1SDV_20211216T171443_20211216T171511_041037_04DFFA_2E87,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",41037,15,139,2021-12-16T17:15:11.322926Z,2021-12-16T17:14:43.392027Z,SLC,2021-12-16T17:14:43.392027Z,2021-12-16T17:15:11.322926Z,43.8167,9.9202,42.768459,8.569372,43.167553,11.688347,44.443726,8.11489,44.842773,11.325397,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211216T171443_20211216T171511_041037_04DFFA_2E87.zip,4106.69240188599,,,0,S1A_IWDV_0139_0144_041037_015,,,,,,,,,
