"Granule Name",Platform,Sensor,"Beam Mode","Beam Mode Description",Orbit,"Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?",URL,"Size (MB)","Off Nadir Angle","Stack Size",Doppler,GroupID,"Pointing Angle",relativeBurstID,absoluteBurstID,fullBurstID,burstIndex,azimuthTime,azimuthAnxTime,samplesPerBurst,subswath
S1A_IW_SLC__1SDV_20241224T171538_20241224T171605_057137_07066B_38B6,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",57137,15,149,2024-12-24T17:16:05.825661Z,2024-12-24T17:15:38.848541Z,SLC,2024-12-24T17:15:38.848541Z,2024-12-24T17:16:05.825661Z,46.8264,9.2034,45.807362,7.774193,46.204773,11.057787,47.423103,7.307582,47.821301,10.694077,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241224T171538_20241224T171605_057137_07066B_38B6.zip,4371.74055862427,,,0,S1A_IWDV_0149_0155_057137_015,,,,,,,,,
S1A_IW_SLC__1SDV_20241224T171514_20241224T171541_057137_07066B_8E03,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",57137,15,144,2024-12-24T17:15:41.000708Z,2024-12-24T17:15:14.023587Z,SLC,2024-12-24T17:15:14.023587Z,2024-12-24T17:15:41.000708Z,45.3342,9.5482,44.313782,8.148861,44.713989,11.362167,45.930683,7.696035,46.331268,11.005144,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241224T171514_20241224T171541_057137_07066B_8E03.zip,4480.86749649048,,,0,S1A_IWDV_0144_0150_057137_015,,,,,,,,,
S1A_IW_SLC__1SDV_20241224T171448_20241224T171516_057137_07066B_3279,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",57137,15,139,2024-12-24T17:15:16.177811Z,2024-12-24T17:14:48.246912Z,SLC,2024-12-24T17:14:48.246912Z,2024-12-24T17:15:16.177811Z,43.8169,9.9261,42.76812,8.570983,43.168148,11.698476,44.443398,8.116541,44.843365,11.335814,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241224T171448_20241224T171516_057137_07066B_3279.zip,4312.63805389404,,,0,S1A_IWDV_0139_0145_057137_015,,,,,,,,,
S1A_IW_SLC__1SDV_20241219T170718_20241219T170745_057064_070387_3CFE,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",57064,117,148,2024-12-19T17:07:45.163982Z,2024-12-19T17:07:18.195084Z,SLC,2024-12-19T17:07:18.195084Z,2024-12-19T17:07:45.163982Z,46.3878,11.3576,45.368748,9.938786,45.766727,13.198337,46.984329,9.476422,47.382984,12.836609,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241219T170718_20241219T170745_057064_070387_3CFE.zip,4439.98398971558,,,0,S1A_IWDV_0147_0154_057064_117,,,,,,,,,
S1A_IW_SLC__1SDV_20241219T170653_20241219T170720_057064_070387_5FC8,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",57064,117,143,2024-12-19T17:07:20.341084Z,2024-12-19T17:06:53.368074Z,SLC,2024-12-19T17:06:53.368074Z,2024-12-19T17:07:20.341084Z,44.8961,11.7066,43.875893,10.318561,44.276127,13.506082,45.492874,9.869744,45.893372,13.150905,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241219T170653_20241219T170720_057064_070387_5FC8.zip,4225.49822807312,,,0,S1A_IWDV_0142_0149_057064_117,,,,,,,,,
S1A_IW_SLC__1SDV_20241219T170628_20241219T170655_057064_070387_1E45,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",57064,117,138,2024-12-19T17:06:55.518187Z,2024-12-19T17:06:28.545177Z,SLC,2024-12-19T17:06:28.545177Z,2024-12-19T17:06:55.518187Z,43.4074,12.0765,42.387463,10.724158,42.787449,13.829865,44.005573,10.288651,44.405407,13.481132,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241219T170628_20241219T170655_057064_070387_1E45.zip,4467.25883769989,,,0,S1A_IWDV_0137_0144_057064_117,,,,,,,,,
S1A_IW_SLC__1SDV_20241214T165901_20241214T165928_056991_070089_AF72,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",56991,44,147,2024-12-14T16:59:28.907555Z,2024-12-14T16:59:01.932490Z,SLC,2024-12-14T16:59:01.932490Z,2024-12-14T16:59:28.907555Z,46.1777,13.4585,45.157452,12.038723,45.557213,15.299061,46.773563,11.577968,47.173946,14.938294,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241214T165901_20241214T165928_056991_070089_AF72.zip,4413.35292243958,,,0,S1A_IWDV_0146_0153_056991_044,,,,,,,,,
S1A_IW_SLC__1SDV_20241214T165837_20241214T165904_056991_070089_4200,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",56991,44,142,2024-12-14T16:59:04.080546Z,2024-12-14T16:58:37.105480Z,SLC,2024-12-14T16:58:37.105480Z,2024-12-14T16:59:04.080546Z,44.6885,13.8285,43.668301,12.444682,44.068245,15.62188,45.285587,11.998191,45.685715,15.268075,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241214T165837_20241214T165904_056991_070089_4200.zip,3901.68578720093,,,0,S1A_IWDV_0141_0148_056991_044,,,,,,,,,
S1A_IW_SLC__1SDV_20241214T165812_20241214T165839_056991_070089_5FB4,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",56991,44,137,2024-12-14T16:58:39.257648Z,2024-12-14T16:58:12.284639Z,SLC,2024-12-14T16:58:12.284639Z,2024-12-14T16:58:39.257648Z,43.198,14.1831,42.177402,12.831237,42.578491,15.934652,43.795673,12.397377,44.196552,15.586895,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241214T165812_20241214T165839_056991_070089_5FB4.zip,3755.97220420837,,,0,S1A_IWDV_0136_0143_056991_044,,,,,,,,,
S1A_IW_SLC__1SDV_20241212T171540_20241212T171607_056962_06FF61_9BAE,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",56962,15,149,2024-12-12T17:16:07.194121Z,2024-12-12T17:15:40.217000Z,SLC,2024-12-12T17:15:40.217000Z,2024-12-12T17:16:07.194121Z,46.8263,9.2031,45.807293,7.773927,46.20467,11.057564,47.423035,7.307353,47.821198,10.693894,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241212T171540_20241212T171607_056962_06FF61_9BAE.zip,4376.8058795929,,,0,S1A_IWDV_0149_0155_056962_015,,,,,,,,,
